name;price;quantity;fromCity;isAvailable;views
AMD Ryzen 5;88135;39;Бишкек;True;2949
nice face wash;26.72;958;cosmetics;Ташкент;True;13783
stylish eye cream;97.52;922;cosmetics;Сараево;True;83988
tasteful saw;95.36;1004;tools;Бургос;False;37283
EVGA 500B 80+ BRONZE;70498;53;Мартоса;False;18724
delightful cherry;20.34;706;fruit;Луго;True;15709
luxurious shovel;70.36;596;tools;Сеговия;True;47333
luxurious mango;11.27;758;fruit;Аликанте;False;88081
glamorous hammer;56.9;758;tools;Самора;True;64359
pretty serum;79.17;709;cosmetics;Астана;True;11691
Brother DCP-T510W;19063;50;Аликанте;False;52250
Logitech Wireless Keyboard;69986;42;Льейда;True;76993
delightful trim;37.04;552;tools;Таллин;True;64097
pleasant boysenberry;51.04;936;fruit;Загреб;False;96444
exquisite tile;43.01;792;tools;Махадаонда;True;743
superb deodorant;10.03;926;cosmetics;Любляна;False;15167
Canon PIXMA;18032;75;Кордова;True;21764
amazing cherry;69.48;811;fruit;Мурсия;False;36773
stylish conditioner;42.88;910;cosmetics;Эль-Пуэрто-де-Санта-Мария;False;47515
glamorous eye cream;40.7;871;cosmetics;Фигерас;False;82177
stylish toothpaste;44.4;1012;cosmetics;Самора;True;55779
nice insulation;39.25;767;tools;Тирана;False;65577
Logitech Wireless Keyboard;13947;63;Сьюдад-Реаль;False;91109
Logitech Wireless Keyboard;65735;14;Навалькарнеро;True;37428
SteelSeries Arctis 7;76469;41;Семана;False;58706
attractive level;58.07;720;tools;Краков;False;47164
stylish drywall;14.65;745;tools;Сория;True;4776
trendy moustache wax;49.4;866;cosmetics;Валенсия;True;83491
beautiful shovel;69.19;515;tools;Тудела;True;31485
superb paint;78.96;820;tools;Севилья;False;29873
pretty tile;23.64;925;tools;Ереван;True;87623
Epson Expression Home XP;63801;15;Вильявисиоса;True;91508
beautiful bubble bath;92.05;635;cosmetics;Краков;False;24492
HP LaserJet Pro;46384;29;Сан-Себастьян;True;55432
WD Blue HDD;36841;22;Вроцлав;False;59900
attractive sunscreen;19.52;818;cosmetics;Афины;True;71619
pleasant boysenberry;55.02;838;fruit;Севилья;False;84292
WD Blue HDD;93148;39;Артейхо;True;14213
gorgeous chisel;89.13;691;tools;Киев;False;95354
exquisite apricot;68.92;640;fruit;Будапешт;True;37588
tasteful tile;46.54;759;tools;Монсон;True;78514
magnificent nail file;20.29;518;cosmetics;Вальядолид;True;65113
Canon PIXMA;80543;30;Белград;True;13908
magnificent tape measure;96.54;988;tools;Картахена;False;68418
superb bubble bath;84.02;987;cosmetics;Пласенсия;False;32008
EVGA 500B 80+ BRONZE;36814;12;Рига;False;53474
Corsair HS60;85031;51;Севилья;True;84928
amazing lip balm;41.23;957;cosmetics;Лас-Росас;False;32152
trendy windows;75.67;817;tools;Махадаонда;False;86501
trendy nails;81.15;836;tools;Астана;False;73089
beautiful face wash;22.56;650;cosmetics;Афины;True;30937
superb orange;41.78;884;fruit;Мерида;True;91342
Razer Variau;95771;66;Камбадос;True;41239
stylish screws;38.28;566;tools;Навалькарнеро;False;67304
pleasant raspberry;73.36;713;fruit;Севилья;True;63809
luxurious axe;19.5;551;tools;Лас-Росас;True;21544
elegant nail polish;89.86;938;cosmetics;Минск;True;32968
Brother DCP-T510W;67061;32;Луго;False;68053
Ricoh Aficio MP;71902;51;Луго;False;56395
Brother DCP-T510W;16420;57;Касерес;True;51209
pleasant nails;75.35;669;tools;Фигерас;False;43767
pleasant hair mask;93.99;817;cosmetics;Сьюдад-Реаль;False;13688
beautiful night cream;25.74;823;cosmetics;Сеговия;True;12039
beautiful night cream;36.41;936;cosmetics;Осера;True;75283
superb apple;29.97;841;fruit;Бильбао;False;48643
pretty facial cleanser;35.92;481;cosmetics;Москва;False;28379
glamorous blackberry;70.86;593;fruit;Барселона;True;28971
gorgeous orange;19.36;997;fruit;Душанбе;True;58436
NVIDIA GeForce GTX 1050;78037;52;Кадакес;True;59623
Samsung 970 EVO SSD;14476;49;Вильнюс;False;10087
SteelSeries Arctis 7;30693;76;Эль-Пуэрто-де-Санта-Мария;False;84926
Razer Variau;47637;75;Хельсинки;True;86273
nice bubble bath;69.38;804;cosmetics;Скопье;True;27852
sublime banana;41.57;898;fruit;Эльче;False;22116
gorgeous windows;59.17;840;tools;Махадаонда;True;86298
sublime wallpaper;37.12;534;tools;Сантьяго-де-Компостела;True;36356
nice exfoliator;75.25;799;cosmetics;Кадакес;True;94175
amazing windows;19.19;921;tools;Сория;True;30592
pleasant wheelbarrow;65.68;780;tools;Бланес;True;40789
stylish trim;95.03;814;tools;Краков;False;60849
WD Blue HDD;17847;41;Льейда;True;2566
refined nail polish;15.46;532;cosmetics;Варшава;True;32309
pleasant cranberry;48.64;611;fruit;Сория;False;24054
amazing kiwifruit;21.45;954;fruit;Ла-Корунья;True;41139
beautiful mango;70.32;551;fruit;Москва;False;93626
tasteful tile;10.41;947;tools;Луго;True;29191
exquisite deodorant;53.67;504;cosmetics;Вроцлав;False;35402
superb bubble bath;39.74;600;cosmetics;Душанбе;False;8487
gorgeous wallpaper;15.58;681;tools;Валенсия;True;32121
Brother DCP-T510W;99166;57;Москва;False;24736
marvelous cherry;20.76;535;fruit;Бланес;False;20760
marvelous deodorant;63.59;910;cosmetics;Бургос;False;49390
Logitech Wireless Keyboard;25493;31;Баку;False;34753
amazing banana;28.29;949;fruit;Москва;True;90955
magnificent screws;41.81;758;tools;Картахена;False;87550
magnificent eye cream;82.57;670;cosmetics;Лас-Росас;False;96855
exquisite scaffolding;73.01;794;tools;Астана;True;34308
elegant blueberry;92.14;826;fruit;Мартоса;False;44009
WD Blue HDD;46118;59;Баку;False;98684
marvelous baby shampoo;38.58;825;cosmetics;Загреб;True;96773
Razer Variau;26815;32;Скопье;True;85959
amazing siding;69.5;574;tools;Алькала-де-Энарес;True;69925
magnificent level;14.57;550;tools;Кишинев;True;91425
refined chisel;94.68;669;tools;Киев;True;41234
trendy guava;98.05;831;fruit;Барселона;False;9383
beautiful orange;55.03;566;fruit;Тирана;True;87583
Ricoh Aficio MP;41029;52;Санхенхо;True;91946
amazing perfume;73.34;674;cosmetics;Навалькарнеро;True;28124
luxurious moustache wax;67.94;642;cosmetics;Осера;True;98528
sublime banana;81.35;799;fruit;Монсон;True;53089
refined level;47.53;990;tools;Осера;True;52284
tasteful pineapple;59.76;794;fruit;Санхенхо;True;6309
trendy moustache wax;44.58;824;cosmetics;Луарка;True;29443
marvelous shampoo;43.7;909;cosmetics;София;False;71062
magnificent chisel;23.57;781;tools;Навалькарнеро;True;11166
tasteful toner;12.58;869;cosmetics;Фигерас;True;55495
Epson Expression Home XP;93561;41;Санхенхо;True;43400
pleasant melon;52.11;999;fruit;Сан-Себастьян;True;31186
nice grapes;15.1;920;fruit;Белград;False;94904
delightful hammer;90.04;915;tools;Ереван;True;83076
sublime level;92.39;695;tools;Таллин;True;39178
pretty shovel;26.68;609;tools;Сеговия;False;99644
pretty face wash;63.85;955;cosmetics;Бишкек;True;29915
glamorous scaffolding;86.34;974;tools;Монсон;True;69669
NVIDIA GeForce GTX 1050;63272;65;Льейда;True;53235
refined melon;98.94;558;fruit;Варшава;False;39298
Ricoh Aficio MP;48328;25;Сан-Себастьян;False;45827
Razer Variau;66285;21;Краков;False;18933
amazing body wash;87.13;476;cosmetics;Сараево;False;59825
tasteful banana;37.46;985;fruit;Кадакес;False;53793
Canon PIXMA;37673;63;Кишинев;True;83577
superb baseboard;43.9;569;tools;Астана;False;31546
magnificent toner;92.91;879;cosmetics;Мартоса;False;59760
stylish nail polish;45.55;1001;cosmetics;Астана;True;76827
Samsung 970 EVO SSD;62300;31;Осера;False;4188
amazing banana;66.92;551;fruit;Сория;True;35596
Brother DCP-T510W;21967;71;Астана;True;64398
elegant siding;29.3;551;tools;Куэнка;False;96706
nice melon;74.56;527;fruit;Алькала-де-Энарес;True;30248
exquisite level;87.6;501;tools;Белград;True;4919
marvelous exfoliator;21.67;636;cosmetics;Кордова;False;92678
Logitech Wireless Keyboard;56027;17;Картахена;True;71312
elegant apricot;18.75;624;fruit;Душанбе;True;63845
Corsair HS60;38521;28;Гранада;False;99554
tasteful face wash;88.21;900;cosmetics;Сория;True;62243
marvelous apricot;79.92;685;fruit;Киев;True;25859
sublime lotion;56.71;758;cosmetics;Куэнка;False;56443
Canon PIXMA;86317;50;Осера;False;13485
magnificent plumbing;76.33;1004;tools;Любляна;True;74707
Razer Variau;93292;47;Хельсинки;True;89202
WD Blue HDD;96975;61;Артейхо;False;66229
