name;price;quantity;category;fromCity;isAvailable;views
HyperX DDR4 RAM;80126;77;Ла-Корунья;True;11836
magnificent mango;75.15;968;fruit;Пласенсия;False;37689
delightful makeup remover;83.1;604;cosmetics;Сеговия;True;54133
tasteful nail file;67.39;931;cosmetics;Мерида;False;29122
gorgeous papaya;61.46;741;fruit;Душанбе;False;76309
nice hammer;76.2;835;tools;Овьедо;False;81837
sublime nail polish;47.86;518;cosmetics;Афины;False;60768
Brother DCP-T510W;49912;50;Баку;False;32595
Kingston Canvas Select Plus;63879;45;Мартоса;True;34189
Ricoh Aficio MP;31076;37;Куэнка;True;60106
trendy plum;75.35;656;fruit;Мадрид;False;6034
marvelous roofing;87.74;747;tools;Алькала-де-Энарес;True;13191
glamorous flooring;72.17;868;tools;Тирана;True;11354
glamorous wallpaper;78.76;928;tools;Сеговия;False;96729
SteelSeries Arctis 7;22455;12;Авилес;True;4591
pleasant electrical;14.38;811;tools;Мадрид;False;47090
trendy plum;38.0;646;fruit;Загреб;True;85898
refined perfume;74.6;607;cosmetics;Хельсинки;False;64390
gorgeous facial cleanser;69.59;737;cosmetics;Хихон;True;72178
Kingston Canvas Select Plus;80552;43;Луго;False;19724
sublime siding;74.32;513;tools;Минск;False;21224
exquisite sunscreen;57.71;467;cosmetics;Монсон;False;94728
AMD Ryzen 5;74860;67;Осера;True;73059
AMD Ryzen 5;73071;48;Хихон;True;85879
trendy ladder;82.75;837;tools;Тудела;False;35793
AMD Ryzen 5;81683;14;Сантьяго-де-Компостела;True;38724
gorgeous glue;55.27;880;tools;Сеговия;False;24323
Epson Expression Home XP;66076;67;Сантьяго-де-Компостела;False;63822
refined lotion;35.96;584;cosmetics;Баку;True;7051
exquisite melon;50.08;757;fruit;Картахена;False;89086
gorgeous wallpaper;85.1;758;tools;Таллин;False;80364
attractive doors;74.06;502;tools;Авилес;False;35015
nice axe;82.87;651;tools;Луго;True;59334
stylish glue;56.83;873;tools;Скопье;False;8153
trendy siding;89.27;640;tools;Мадрид;True;59474
refined peach;48.87;548;fruit;Эльче;True;2753
attractive flooring;40.13;778;tools;Мурсия;True;52970
Intel Core i5;76550;26;Осера;False;52045
marvelous facial cleanser;38.76;954;cosmetics;Душанбе;False;44257
trendy toothpaste;89.22;491;cosmetics;Афины;True;84225
pretty hair mask;82.64;671;cosmetics;Луарка;False;62092
Brother DCP-T510W;34047;75;Душанбе;False;55080
tasteful toothpaste;79.08;693;cosmetics;Рига;True;15783
Samsung 970 EVO SSD;48613;43;Рига;True;87282
attractive screws;34.69;569;tools;Севилья;True;5722
gorgeous moustache wax;22.55;601;cosmetics;Картахена;False;16361
attractive hair mask;10.68;561;cosmetics;Сараево;True;7222
nice boysenberry;27.1;988;fruit;Скопье;True;58251
tasteful cherry;19.96;940;fruit;Кадакес;False;31225
HP LaserJet Pro;55602;71;Касерес;True;28178
marvelous serum;54.93;790;cosmetics;Барселона;False;69195
attractive toner;27.55;975;cosmetics;Тудела;True;94301
NVIDIA GeForce GTX 1050;49586;39;Картахена;True;35685
amazing saw;48.29;617;tools;Вильнюс;False;43468
amazing plum;73.88;928;fruit;Аликанте;True;33027
delightful sunscreen;37.64;757;cosmetics;Вальядолид;False;41639
pleasant mango;67.17;626;fruit;Кишинев;True;29886
Razer Variau;87990;35;Ташкент;False;73691
pretty plumbing;84.66;749;tools;Киев;False;12350
Canon PIXMA;70892;62;Кордова;True;44283
pleasant windows;32.41;528;tools;Лас-Росас;True;52965
nice screws;27.69;711;tools;Виго;True;65903
pretty cranberry;71.79;919;fruit;Баку;False;98798
Samsung 970 EVO SSD;94589;49;Тирана;False;34281
tasteful banana;82.71;735;fruit;Мурсия;True;85736
glamorous baseboard;13.04;634;tools;Санхенхо;False;98769
attractive banana;40.79;597;fruit;Алькала-де-Энарес;False;39165
Intel Core i5;14741;14;Махадаонда;True;56334
refined melon;23.27;657;fruit;Тарраса;True;62846
tasteful ladder;93.93;897;tools;Эльче;True;70854
glamorous pineapple;65.4;738;fruit;Овьедо;True;91697
amazing moustache wax;85.92;704;cosmetics;Баку;True;6314
elegant baby shampoo;52.28;686;cosmetics;Тирана;True;7844
trendy face wash;58.26;487;cosmetics;Трухильо;False;38607
superb windows;60.57;587;tools;Мурсия;False;55820
Samsung 970 EVO SSD;31661;25;Сория;False;68938
glamorous pedicure set;76.4;565;cosmetics;Ташкент;True;28268
pleasant insulation;43.5;569;tools;Сьюдад-Реаль;True;37086
Samsung 970 EVO SSD;69187;14;Льейда;False;53971
nice nail file;74.48;604;cosmetics;Кишинев;True;46168
luxurious body wash;72.02;609;cosmetics;Севилья;False;31202
elegant axe;71.61;778;tools;Аликанте;True;77279
Razer Variau;26185;54;Вильнюс;False;59194
pretty eye cream;94.01;800;cosmetics;Пласенсия;True;61380
stylish night cream;40.21;904;cosmetics;Куэнка;False;54527
gorgeous pedicure set;31.87;790;cosmetics;Прага;True;25627
AMD Ryzen 5;17470;26;Бургос;False;60910
Canon PIXMA;85376;70;Минск;False;41181
pleasant windows;91.89;737;tools;Санхенхо;True;83391
sublime exfoliator;41.26;556;cosmetics;Киев;True;74506
stylish lotion;58.76;595;cosmetics;Эльче;False;70755
amazing raspberry;70.0;818;fruit;Загреб;False;33302
superb mango;90.77;771;fruit;Тарраса;False;40454
HP LaserJet Pro;47243;43;Артейхо;False;13543
trendy paint;55.75;613;tools;Мурсия;True;78171
stylish body wash;48.97;821;cosmetics;Таллин;True;20889
sublime manicure set;17.06;1005;cosmetics;Махадаонда;False;15508
Samsung 970 EVO SSD;84220;48;Алма-Ата;False;92325
pretty exfoliator;44.34;836;cosmetics;Вальядолид;True;91130
tasteful boysenberry;28.58;714;fruit;Самора;True;48176
pleasant night cream;93.34;982;cosmetics;Осера;False;4069
Epson Expression Home XP;35249;17;Сан-Себастьян;True;22114
trendy bubble bath;64.5;784;cosmetics;Сан-Себастьян;False;60541
Brother DCP-T510W;31023;48;Тудела;True;90743
nice doors;84.8;922;tools;Будапешт;True;99037
WD Blue HDD;20034;57;Кадакес;False;41205
trendy tile;88.58;570;tools;Кордова;True;44269
marvelous shampoo;47.56;630;cosmetics;Кордова;True;51139
glamorous shampoo;72.69;602;cosmetics;Бургос;False;64804
amazing wheelbarrow;18.03;648;tools;Камбадос;True;37110
beautiful siding;79.64;882;tools;Сеговия;True;86710
Intel Core i5;86852;71;Лас-Росас;False;57782
superb trim;99.87;688;tools;Минск;True;63434
WD Blue HDD;33788;72;Кадакес;True;59977
stylish paint;32.16;884;tools;Белград;True;22109
sublime peach;75.31;914;fruit;Сараево;True;36241
pleasant grapes;68.49;765;fruit;Вильнюс;True;41953
superb papaya;91.66;943;fruit;Вроцлав;True;65261
elegant guava;29.55;936;fruit;Касерес;True;40026
Samsung 970 EVO SSD;90880;37;Касерес;True;59183
Corsair HS60;81741;27;Луго;True;5072
attractive papaya;44.85;717;fruit;Краков;False;70254
sublime boysenberry;96.28;633;fruit;Тудела;True;15577
luxurious facial cleanser;90.59;954;cosmetics;Вильявисиоса;False;35405
magnificent tile;94.79;495;tools;Киев;False;47161
pleasant baseboard;12.5;669;tools;Афины;True;4822
Razer Variau;58243;41;Тирана;True;94341
gorgeous blackberry;27.01;789;fruit;Сеговия;True;78475
gorgeous eye cream;36.96;481;cosmetics;Куэнка;False;98953
pleasant nails;42.11;947;tools;Тбилиси;True;1118
WD Blue HDD;34156;75;Аликанте;True;86020
delightful electrical;23.35;891;tools;Хихон;False;61215
pleasant night cream;40.6;919;cosmetics;Ташкент;False;15267
delightful shampoo;54.85;979;cosmetics;Навалькарнеро;False;38629
stylish deodorant;63.07;922;cosmetics;Бишкек;False;13336
pleasant guava;50.88;663;fruit;Осера;False;29190
gorgeous toothpaste;98.59;900;cosmetics;Прага;True;20436
marvelous papaya;74.85;631;fruit;Картахена;True;42972
stylish insulation;59.44;680;tools;Сараево;False;1177
WD Blue HDD;75412;38;Бильбао;True;56130
nice insulation;93.7;707;tools;Ла-Корунья;True;87470
pretty ladder;97.49;698;tools;Алькала-де-Энарес;False;87175
AMD Ryzen 5;43488;33;Астана;True;6324
Kingston Canvas Select Plus;67949;17;Луарка;True;83436
Razer Variau;95100;26;Прага;False;36191
stylish roofing;63.32;606;tools;Малага;False;41993
Logitech Wireless Keyboard;56506;53;Гранада;True;8957
elegant chisel;39.63;759;tools;Аликанте;True;99661
nice cherry;85.08;610;fruit;Тирана;False;65417
trendy body wash;87.48;730;cosmetics;Алькала-де-Энарес;True;68274
Samsung 970 EVO SSD;42289;25;Куэнка;True;88203
delightful perfume;23.47;710;cosmetics;Бишкек;True;37674
tasteful scaffolding;83.22;753;tools;Москва;True;7650
exquisite perfume;49.32;688;cosmetics;Астана;False;35327
delightful perfume;27.81;942;cosmetics;Севилья;False;52457
SteelSeries Arctis 7;66830;17;Подгорица;True;60755
Ricoh Aficio MP;50679;69;Монсон;False;30569
sublime trim;82.59;875;tools;Овьедо;True;96929
amazing lip balm;86.46;708;cosmetics;Куэнка;False;6185
delightful nail file;46.38;1034;cosmetics;Санхенхо;False;32034
superb wheelbarrow;24.94;706;tools;Эль-Пуэрто-де-Санта-Мария;True;10525
trendy electrical;76.24;788;tools;Сеговия;False;96135
