name;price;quantity;fromCity;isAvailable;views
WD Blue HDD;86295;21;Ереван;True;38505
NVIDIA GeForce GTX 1050;73432;43;Алма-Ата;True;93500
HyperX DDR4 RAM;95006;58;Кадакес;False;58967
elegant perfume;93.28;670;cosmetics;Москва;False;8926
HP LaserJet Pro;94175;46;Лас-Росас;True;1256
superb cranberry;12.97;793;fruit;Санхенхо;True;29923
gorgeous moustache wax;11.93;727;cosmetics;Мерида;False;6875
Razer Variau;21925;68;Эльче;False;54717
delightful makeup remover;93.63;586;cosmetics;Алма-Ата;True;94683
Brother DCP-T510W;10842;56;Тирана;True;52881
Kingston Canvas Select Plus;47945;52;Тудела;True;85572
nice papaya;46.91;689;fruit;Вильявисиоса;True;2656
glamorous deodorant;35.81;712;cosmetics;Хельсинки;True;31853
pleasant trim;69.72;720;tools;Тбилиси;True;18724
pretty scaffolding;95.06;821;tools;Бланес;True;88628
delightful nail polish;34.64;607;cosmetics;Вильявисиоса;True;57722
Intel Core i5;41741;73;Тарраса;True;35378
stylish electrical;93.98;652;tools;Афины;True;93645
delightful nail polish;43.36;762;cosmetics;Самора;False;79655
EVGA 500B 80+ BRONZE;13925;38;Эльче;True;37116
exquisite plum;25.46;892;fruit;Хельсинки;True;58250
glamorous hair mask;31.09;662;cosmetics;Льейда;True;83970
exquisite saw;69.96;879;tools;Алькала-де-Энарес;True;17684
marvelous lip balm;67.67;912;cosmetics;Кадакес;True;84064
tasteful ladder;93.67;563;tools;София;True;44061
HyperX DDR4 RAM;46435;19;Баку;False;61445
exquisite lip balm;28.05;749;cosmetics;Рига;True;50943
nice screws;27.1;805;tools;Трухильо;False;62436
attractive wheelbarrow;93.39;529;tools;Кордова;True;11639
Canon PIXMA;26905;59;Гранада;False;31669
marvelous doors;99.93;626;tools;Баку;False;35065
EVGA 500B 80+ BRONZE;79345;50;Прага;True;9510
Intel Core i5;73004;26;Загреб;True;10300
delightful doors;83.95;777;tools;Кишинев;True;3336
Kingston Canvas Select Plus;80158;57;Овьедо;True;76656
Intel Core i5;79020;44;Сантьяго-де-Компостела;False;43925
stylish drywall;14.23;906;tools;Москва;False;2400
HP LaserJet Pro;70112;61;Тбилиси;True;83420
pretty shampoo;94.1;911;cosmetics;Эль-Пуэрто-де-Санта-Мария;False;40720
superb tile;78.88;938;tools;Навалькарнеро;False;6573
refined saw;65.5;783;tools;Санхенхо;True;18303
stylish blueberry;23.34;695;fruit;Бильбао;True;93657
tasteful apple;45.85;861;fruit;Ереван;True;62555
trendy nail file;71.82;982;cosmetics;Бишкек;False;56258
trendy blueberry;92.87;750;fruit;Скопье;False;5083
HyperX DDR4 RAM;87645;22;Душанбе;False;6576
stylish strawberry;92.58;869;fruit;Мартоса;False;7089
pleasant facial cleanser;52.35;514;cosmetics;Навалькарнеро;False;94349
pretty plum;19.87;849;fruit;Бишкек;False;78624
marvelous nail polish;74.43;709;cosmetics;Тарраса;False;56901
gorgeous flooring;66.92;693;tools;Таллин;False;70405
EVGA 500B 80+ BRONZE;16008;34;Хихон;True;5189
amazing pedicure set;62.61;790;cosmetics;Мадрид;False;34375
stylish toner;69.63;889;cosmetics;Вильнюс;False;94364
HP LaserJet Pro;55304;14;Кишинев;True;39062
gorgeous siding;73.06;928;tools;Овьедо;True;92235
luxurious apricot;35.07;902;fruit;Баку;False;33149
EVGA 500B 80+ BRONZE;48381;57;Пласенсия;False;3700
AMD Ryzen 5;20183;58;Сантьяго-де-Компостела;True;39306
sublime orange;99.87;542;fruit;Мерида;True;33154
Ricoh Aficio MP;69857;45;Мурсия;False;309
trendy orange;40.65;604;fruit;Эльче;True;4055
gorgeous glue;68.85;717;tools;Лас-Росас;False;46612
luxurious lotion;14.52;689;cosmetics;Хельсинки;False;31100
AMD Ryzen 5;65865;72;Бишкек;False;27140
gorgeous cranberry;61.35;778;fruit;Ла-Корунья;True;72132
Canon PIXMA;49594;37;Афины;True;26737
HP LaserJet Pro;80484;15;Навалькарнеро;True;98716
Corsair HS60;49606;44;Монсон;True;78716
tasteful level;99.99;736;tools;Камбадос;True;2896
pretty plum;83.79;719;fruit;Севилья;False;52765
marvelous raspberry;91.14;491;fruit;Артейхо;True;60873
WD Blue HDD;35671;28;Мартоса;True;59625
stylish nail polish;30.18;534;cosmetics;Мерида;True;71182
Brother DCP-T510W;25775;44;Вильнюс;False;78432
Brother DCP-T510W;31773;44;Афины;True;13615
SteelSeries Arctis 7;74295;43;Хельсинки;True;57773
elegant axe;18.25;821;tools;Сьюдад-Реаль;True;61612
NVIDIA GeForce GTX 1050;25922;66;Тбилиси;False;95627
Logitech Wireless Keyboard;31759;51;Трухильо;True;9760
glamorous raspberry;99.37;518;fruit;Мадрид;False;59636
Logitech Wireless Keyboard;71776;55;Монсон;False;87195
stylish blueberry;15.21;793;fruit;Пласенсия;True;39804
magnificent night cream;33.83;621;cosmetics;Малага;True;42714
HyperX DDR4 RAM;68082;67;Москва;False;95844
Corsair HS60;22745;60;Бильбао;True;38680
Canon PIXMA;84360;71;Фигерас;False;92179
nice axe;26.21;763;tools;Бургос;True;81935
marvelous body wash;56.35;791;cosmetics;Сеговия;True;78183
delightful electrical;97.04;658;tools;Минск;False;25916
Razer Variau;95967;34;Киев;False;20889
exquisite guava;71.2;921;fruit;Любляна;True;73413
attractive baseboard;37.95;660;tools;Астана;True;47210
marvelous eye cream;23.0;635;cosmetics;Валенсия;False;36679
SteelSeries Arctis 7;11589;31;Аликанте;True;33304
Kingston Canvas Select Plus;91259;55;Астана;True;42798
delightful flooring;67.81;517;tools;Артейхо;True;69377
magnificent flooring;98.7;549;tools;Алькала-де-Энарес;True;98430
EVGA 500B 80+ BRONZE;46844;70;Лас-Росас;True;28240
Brother DCP-T510W;62132;50;Овьедо;True;43967
sublime electrical;29.31;696;tools;Кадакес;True;98158
Brother DCP-T510W;44587;40;Тирана;True;17046
exquisite guava;32.11;887;fruit;Варшава;False;50014
marvelous tape measure;53.99;541;tools;Санхенхо;True;24374
WD Blue HDD;43109;44;Лас-Росас;True;61144
glamorous kiwifruit;56.73;898;fruit;Ереван;True;25785
WD Blue HDD;51289;12;Бланес;True;58972
Ricoh Aficio MP;33371;72;Бланес;True;49339
glamorous perfume;86.5;868;cosmetics;Вроцлав;False;77585
glamorous windows;57.64;934;tools;Эль-Пуэрто-де-Санта-Мария;False;62981
