name;place;prise
Пальма 1987;2;8500000
Алушта 2000;2;7000000
Линарес 1965;1;24500000
Гран-при ФИДЕ 1991;11;15625
Чемпионат мира 2000;2;4500000
Турнир претендентов 1999;4;562500
Цюрих 1989;9;83984
Вена 1957;13;854
Гран-при ФИДЕ 1980;0;8000000
Макартур 1975;8;140625
Sinquefield Cup 1973;0;14000000
Мемориал Таля 1955;2;3250000
Балтийская цепь 1999;2;5750000
Балтийская цепь 1999;6;359375
Реджо-нель-Эмилия 1962;4;3000000
Турнир претендентов 2004;4;250000
Аэрофлот Опен 2017;1;4500000
Вена 1976;0;4000000
Ставангер 2023;0;3000000
Гран-при ФИДЕ 1991;2;8000000
Гашиш 2013;12;8057
Вейк-ан-Зее 2009;1;12500000
Кубок мира 1955;5;1000000
Чемпионат мира 1957;12;1000
Алушта 1989;2;5250000
Гашиш 2013;10;32227
Гран-при ФИДЕ 1980;1;4000000
Макартур 1975;5;156250
Реджо-нель-Эмилия 1984;0;50000000
Алушта 2000;0;28000000
Пойковский 1993;3;1875000
Цюрих 1969;2;3500000
Кубок мира 1980;6;296875
Мемориал Таля 1956;3;2000000
Гран-при ФИДЕ 1991;7;250000
Кубок мира 2024;0;9000000
Кубок мира 1967;9;48828
Пальма 1987;3;4250000
Кубок мира 1955;0;32000000
Пойковский 1955;1;20000000
Вена 1957;7;54688
Европа 1967;5;812500
Турнир претендентов 2023;5;562500
Алушта 1983;4;1875000
Кубок мира 1967;3;3125000
Мемориал Таля 1956;1;8000000
Кубок мира 2024;5;281250
Пойковский 1955;7;312500
Макартур 2022;2;12500000
Гран-при ФИДЕ 2010;3;1625000
Кубок мира 2019;4;2812500
Цюрих 1989;1;21500000
Балтийская цепь 2024;5;31250
Пальма 2000;8;19531
Линарес 1965;2;12250000
Лондон 1990;2;8750000
Турнир претендентов 1999;5;281250
Турнир претендентов 2005;1;14500000
Балтийская цепь 1999;0;23000000
Вейк-ан-Зее 1969;4;2875000
Вена 2017;8;78125
Чемпионат мира 2000;8;70312
Европа 1953;0;19000000
Хогевен 2007;0;26000000
Вейк-ан-Зее 1969;1;23000000
Чемпионат мира 1957;9;5859
Цюрих 1969;1;7000000
Чемпионат мира 1976;8;58594
Вена 1957;11;3418
Алушта 1989;4;1312500
Макартур 1975;10;35156
Макартур 2010;1;17500000
Аэрофлот Опен 1962;0;46000000
Чемпионат мира 1976;10;14648
Турнир претендентов 1999;6;140625
Гран-при ФИДЕ 2006;11;5371
Алушта 1989;1;10500000
Гашиш 2011;0;17000000
Чемпионат мира 1976;13;2500
Макартур 1975;8;19531
Ставангер 1974;2;3000000
Лондон 1982;3;6000000
Чемпионат мира 1978;14;1500
Чемпионат мира 1993;9;1953
Мемориал Таля 1956;8;62500
Балтийская цепь 2024;8;3906
Алушта 1989;3;2625000
Кубок мира 1980;5;593750
Вена 1957;3;875000
Лондон 1982;5;1500000
Европа 2006;4;1187500
Кубок мира 1955;2;8000000
Реджо-нель-Эмилия 2005;4;1062500
Лондон 1982;1;24000000
Реджо-нель-Эмилия 1962;8;187500
Кубок мира 2019;3;5625000
Макартур 2010;0;35000000
Хогевен 2016;3;4250000
Чемпионат мира 1961;13;4395
Кубок мира 1955;7;250000
Вена 2017;1;10000000
Чемпионат мира 1961;12;8789
Биль 1985;3;1000000
Чемпионат мира 2000;13;2197
Гран-при ФИДЕ 1993;8;3906
Линарес 1969;11;1500
Вейк-ан-Зее 1969;7;359375
Вейк-ан-Зее 2009;0;25000000
Вена 1957;10;6836
Европа 1953;1;9500000
Ставангер 1999;0;38000000
Пойковский 1993;1;7500000
Гран-при ФИДЕ 1993;7;7812
Сент-Луис 2006;2;2250000
Турнир претендентов 2023;6;281250
Вейк-ан-Зее 1969;13;5615
Макартур 1975;1;2500000
Политика 1956;4;1250000
Гашиш 1966;3;5000000
Вейк-ан-Зее 2023;3;5125000
Пойковский 1955;8;156250
Кубок мира 2019;7;351562
Гран-при ФИДЕ 2003;9;97656
Турнир претендентов 2023;9;35156
Макартур 2022;8;195312
Чемпионат мира 1978;1;9000000
Балтийская цепь 1999;9;44922
Чемпионат мира 1978;6;281250
Вена 2017;4;1250000
Алушта 1970;3;5125000
Чемпионат мира 1957;6;46875
Макартур 2022;0;50000000
Аэрофлот Опен 1975;4;3062500
Хогевен 1995;2;3500000
Чемпионат мира 1993;1;500000
Пальма 2000;0;5000000
Макартур 1996;4;2437500
Вена 1957;8;27344
Реджо-нель-Эмилия 1958;1;22500000
Макартур 1996;2;9750000
Вейк-ан-Зее 2009;2;6250000
Европа 1984;3;1500000
Кубок мира 1955;4;2000000
Вена 2017;9;39062
Ставангер 1999;8;148438
Гран-при ФИДЕ 2003;12;12207
Балтийская цепь 1956;3;2375000
Кубок мира 2019;0;45000000
Сент-Луис 2006;4;562500
Макартур 1975;5;1125000
Пойковский 1955;3;5000000
Кубок мира 1967;6;390625
Пойковский 1989;5;281250
Чемпионат мира 2000;10;17578
Кубок мира 2019;10;43945
Чемпионат мира 1957;1;1500000
Сент-Луис 2006;9;17578
Гашиш 1966;5;1250000
Макартур 2022;9;97656
Чемпионат мира 1976;12;3662
Сент-Луис 2006;8;35156
Гашиш 1970;3;2375000
Гашиш 1966;9;78125
Ставангер 1974;1;6000000
Ставангер 2023;7;23438
Аэрофлот Опен 1975;5;1531250
Макартур 2022;1;25000000
Пальма 1992;8;167969
Линарес 2024;1;24000000
Пальма 2000;11;2500
Ставангер 2023;6;46875
Аэрофлот Опен 1975;0;49000000
Хогевен 2007;9;50781
Цюрих 1989;8;167969
Вейк-ан-Зее 1969;3;5750000
Макартур 1996;1;19500000
Макартур 2010;6;546875
Вейк-ан-Зее 2023;5;1281250
Хогевен 2007;7;203125
Кубок мира 2024;7;70312
Вейк-ан-Зее 2009;5;781250
Политика 1967;3;1250000
Гашиш 2013;4;2062500
Линарес 1969;12;1500
Реджо-нель-Эмилия 2005;0;17000000
Политика 1967;8;39062
Аэрофлот Опен 1975;2;12250000
Гран-при ФИДЕ 2006;9;21484
Кубок мира 1980;7;148438
Лондон 1981;3;750000
Биль 2024;0;16000000
Чемпионат мира 1978;7;140625
Пальма 1991;1;8500000
Гашиш 2013;2;8250000
Гран-при ФИДЕ 1991;8;125000
Чемпионат мира 1969;8;39062
Кубок мира 1980;8;74219
Чемпионат мира 1969;7;78125
Турнир претендентов 2023;7;140625
Кубок мира 2019;12;10986
Пойковский 1955;6;625000
Цюрих 1989;5;1343750
Балтийская цепь 1956;2;4750000
Цюрих 1989;13;5249
Реджо-нель-Эмилия 1984;9;97656
Макартур 2022;6;781250
Лондон 1982;2;12000000
Гран-при ФИДЕ 2003;4;3125000
Вена 2009;7;117188
Балтийская цепь 1999;7;179688
Лондон 1981;5;187500
Чемпионат мира 2000;6;281250
Пальма 2000;4;312500
Балтийская цепь 1956;1;9500000
Кубок мира 1967;1;12500000
Пойковский 1955;11;19531
Мемориал Таля 1956;6;250000
Чемпионат мира 1961;2;9000000
Балтийская цепь 1956;8;74219
Сент-Луис 2006;1;4500000
Вена 1957;5;218750
Кубок мира 1967;7;195312
Чемпионат мира 1969;3;1250000
Пальма 1991;2;4250000
Макартур 1975;0;36000000
Сент-Луис 2006;6;140625
Лондон 1990;0;35000000
Реджо-нель-Эмилия 1958;0;45000000
Балтийская цепь 1999;4;1437500
Турнир претендентов 1999;3;1125000
Гран-при ФИДЕ 2006;0;11000000
Пальма 1992;5;1343750
Балтийская цепь 1956;6;296875
Чемпионат мира 1969;10;9766
Макартур 1975;6;78125
Балтийская цепь 1999;3;2875000
Кубок мира 1967;8;97656
Пальма 2000;12;2500
Макартур 1975;0;5000000
Вена 2017;5;625000
Реджо-нель-Эмилия 1984;13;6104
Лондон 1981;6;93750
Кубок мира 2019;1;22500000
Алушта 1989;7;164062
Вена 1976;1;2000000
Аэрофлот Опен 1975;1;24500000
Чемпионат мира 1969;5;312500
Чемпионат мира 1980;3;4250000
Политика 1956;6;312500
Политика 1956;1;10000000
Турнир претендентов 2004;0;4000000
Цюрих 1969;8;54688
Реджо-нель-Эмилия 1962;3;6000000
Гашиш 2013;3;4125000
Ставангер 2023;8;11719
Ставангер 1999;4;2375000
Чемпионат мира 1961;1;18000000
Чемпионат мира 1976;11;7324
Вена 1960;2;7500000
Чемпионат мира 1980;2;8500000
Sinquefield Cup 1973;4;875000
Аэрофлот Опен 1962;4;2875000
Хогевен 2007;10;25391
Макартур 1975;12;8789
Реджо-нель-Эмилия 1984;10;48828
Пальма 2000;3;625000
Гран-при ФИДЕ 2010;8;50781
Балтийская цепь 1956;7;148438
Гран-при ФИДЕ 1993;0;1000000
Линарес 1991;4;2812500
Гран-при ФИДЕ 2010;4;812500
Хогевен 2007;8;101562
Цюрих 1997;2;1750000
Реджо-нель-Эмилия 1954;7;23438
Чемпионат мира 1976;3;1875000
Турнир претендентов 1999;2;2250000
Мемориал Таля 1956;7;125000
Цюрих 1969;10;13672
Кубок мира 2024;3;1125000
Кубок мира 2024;2;2250000
Ставангер 2023;10;2930
Алушта 1983;1;15000000
Хогевен 2007;5;812500
Пойковский 1955;2;10000000
Чемпионат мира 2015;4;2187500
Гран-при ФИДЕ 2010;1;6500000
Вейк-ан-Зее 1969;12;11230
Вена 2017;3;2500000
Цюрих 1969;7;109375
Ставангер 1974;0;12000000
Балтийская цепь 1999;5;718750
Гашиш 1970;0;19000000
Гашиш 1970;0;19000000
Чемпионат мира 2015;5;1093750
Реджо-нель-Эмилия 1984;3;6250000
Гран-при ФИДЕ 2006;13;1500
Цюрих 1983;2;500000
Европа 2006;6;296875
Вена 2017;10;19531
Гашиш 2011;1;8500000
Макартур 2022;3;6250000
Аэрофлот Опен 1962;1;23000000
Европа 1967;3;3250000
Реджо-нель-Эмилия 1962;7;375000
Турнир претендентов 2023;10;17578
Гран-при ФИДЕ 1993;5;31250
Линарес 1969;4;187500
Реджо-нель-Эмилия 1954;0;3000000
Аэрофлот Опен 1962;6;718750
Турнир претендентов 2023;12;4395
Чемпионат мира 1980;4;2125000
Вена 1957;6;109375
Линарес 1969;3;375000
Турнир претендентов 2023;3;2250000
Алушта 1989;5;656250
Чемпионат мира 1961;8;140625
Европа 1967;6;406250
Хогевен 2016;2;8500000
Алушта 2000;1;14000000
Пальма 2000;7;39062
Мемориал Таля 1956;4;1000000
Лондон 1982;8;187500
Вена 2009;2;3750000
Пальма 1991;9;33203
Кубок мира 1967;0;25000000
Цюрих 1997;3;875000
Пойковский 1989;3;1125000
Вейк-ан-Зее 2009;8;97656
Балтийская цепь 2024;7;7812
Кубок мира 1980;10;18555
Гашиш 1966;6;625000
Гашиш 2013;11;16113
Реджо-нель-Эмилия 1984;7;390625
Гран-при ФИДЕ 2010;5;406250
Вейк-ан-Зее 1969;5;1437500
Ставангер 2023;2;750000
Чемпионат мира 1985;1;17500000
Гашиш 1970;4;1187500
Биль 1985;2;2000000
Пальма 2000;5;156250
Мемориал Таля 1975;2;9500000
Мемориал Таля 1955;4;812500
Ставангер 1999;2;9500000
Цюрих 1997;1;3500000
Ставангер 1999;1;19000000
Линарес 1969;8;11719
Турнир претендентов 1999;0;9000000
Чемпионат мира 2015;1;17500000
Вейк-ан-Зее 2009;6;390625
Пойковский 1955;12;9766
Вейк-ан-Зее 2009;10;24414
Чемпионат мира 1961;0;36000000
Лондон 1981;2;1500000
Чемпионат мира 1978;10;17578
Цюрих 1969;11;6836
Кубок мира 1955;3;4000000
Пальма 1992;0;43000000
Гашиш 1966;8;156250
Макартур 1975;10;4883
Гран-при ФИДЕ 1991;6;500000
Линарес 1991;3;5625000
Вена 2009;3;1875000
Чемпионат мира 1957;3;375000
Вена 1957;0;7000000
Реджо-нель-Эмилия 1954;5;93750
Реджо-нель-Эмилия 1962;0;48000000
Макартур 1975;7;281250
Кубок мира 2019;11;21973
Вена 2009;4;937500
Вейк-ан-Зее 2023;7;320312
Кубок мира 1967;4;1562500
Пальма 1992;2;10750000
Балтийская цепь 2024;2;250000
Мемориал Таля 1955;0;13000000
Кубок мира 1980;3;2375000
Реджо-нель-Эмилия 1954;1;1500000
Балтийская цепь 2024;9;1953
Гашиш 2013;5;1031250
Линарес 1969;0;3000000
Турнир претендентов 2023;13;2197
Вейк-ан-Зее 2009;3;3125000
Чемпионат мира 1961;7;281250
Хогевен 2007;4;1625000
Аэрофлот Опен 1962;8;179688
Мемориал Таля 1955;3;1625000
Европа 2006;5;593750
Турнир претендентов 2004;3;500000
Кубок мира 2024;4;562500
Линарес 1991;1;22500000
Вейк-ан-Зее 1969;2;11500000
Чемпионат мира 1969;4;625000
Реджо-нель-Эмилия 1984;4;3125000
Хогевен 2016;4;2125000
Гашиш 1970;6;296875
Реджо-нель-Эмилия 1984;1;25000000
Чемпионат мира 2000;1;9000000
Реджо-нель-Эмилия 1984;2;12500000
Аэрофлот Опен 2017;0;9000000
Гашиш 1970;5;593750
Европа 1967;2;6500000
Гашиш 1970;5;593750
Чемпионат мира 1976;5;468750
Ставангер 2023;4;187500
Вейк-ан-Зее 2009;9;48828
Гран-при ФИДЕ 2006;8;42969
Гашиш 2013;0;33000000
Турнир претендентов 2023;2;4500000
Хогевен 1995;0;14000000
Линарес 1991;0;45000000
Лондон 1981;0;6000000
Чемпионат мира 1978;5;562500
Вейк-ан-Зее 2023;8;160156
Вейк-ан-Зее 1999;3;4250000
Хогевен 2007;2;6500000
Гран-при ФИДЕ 1993;1;500000
Гран-при ФИДЕ 1980;4;500000
Гран-при ФИДЕ 1991;4;2000000
Пойковский 1989;4;562500
Вейк-ан-Зее 2009;13;3052
Цюрих 1969;0;14000000
Линарес 1991;6;703125
Чемпионат мира 2000;11;8789
Вейк-ан-Зее 1999;2;8500000
Гран-при ФИДЕ 1980;3;1000000
Sinquefield Cup 1973;3;1750000
Чемпионат мира 1980;0;34000000
Биль 1985;0;8000000
Гран-при ФИДЕ 2003;10;48828
Ставангер 1999;7;296875
Реджо-нель-Эмилия 1954;6;46875
Аэрофлот Опен 1962;7;359375
Реджо-нель-Эмилия 2005;6;265625
Балтийская цепь 2024;3;125000
Макартур 1996;3;4875000
Вена 1957;14;500
Балтийская цепь 1956;4;1187500
Лондон 1982;6;750000
Гашиш 1970;4;1187500
Балтийская цепь 1999;1;11500000
Чемпионат мира 1961;6;562500
Гран-при ФИДЕ 2006;2;2750000
Цюрих 1969;12;3418
Цюрих 1969;3;1750000
Сент-Луис 2006;5;281250
Чемпионат мира 1957;10;2930
Мемориал Таля 1956;0;16000000
Чемпионат мира 1957;11;1465
Лондон 1964;2;7500000
Вена 1957;12;1709
Гран-при ФИДЕ 2006;5;343750
Чемпионат мира 2000;4;1125000
Сент-Луис 2006;3;1125000
Пойковский 1955;10;39062
Пальма 1991;5;531250
Европа 1984;1;6000000
Пальма 1992;4;2687500
Мемориал Таля 1975;3;4750000
Европа 2006;2;4750000
Лондон 1981;7;46875
Турнир претендентов 2005;2;7250000
Ставангер 1999;5;1187500
Вена 2017;6;312500
Чемпионат мира 1957;7;23438
Макартур 1975;4;312500
Линарес 2024;2;12000000
Вена 1957;4;437500
Турнир претендентов 2004;1;2000000
Чемпионат мира 1976;6;234375
Цюрих 1983;3;250000
Европа 1984;5;375000
Кубок мира 2019;5;1406250
Турнир претендентов 2023;4;1125000
Макартур 1996;0;39000000
Алушта 1970;1;20500000
Цюрих 1997;0;7000000
Чемпионат мира 1993;6;15625
Гашиш 1966;7;312500
Чемпионат мира 2015;3;4375000
Гран-при ФИДЕ 2003;8;195312
Сент-Луис 2006;7;70312
Реджо-нель-Эмилия 2005;8;66406
Европа 1967;0;26000000
Пойковский 1989;0;9000000
Линарес 1969;5;93750
Пойковский 1955;0;40000000
Чемпионат мира 1993;5;31250
Гран-при ФИДЕ 1993;4;62500
Гран-при ФИДЕ 2003;11;24414
Гран-при ФИДЕ 2003;3;6250000
Цюрих 1989;0;43000000
Вена 1957;9;13672
Чемпионат мира 1978;9;35156
Вейк-ан-Зее 1969;11;22461
Аэрофлот Опен 2017;2;2250000
Пойковский 1955;9;78125
Чемпионат мира 1969;2;2500000
Вейк-ан-Зее 1999;0;34000000
Пойковский 1989;2;2250000
Чемпионат мира 1978;12;4395
Гашиш 2013;8;128906
Реджо-нель-Эмилия 1962;9;93750
Гран-при ФИДЕ 2003;7;390625
Макартур 1975;6;562500
Европа 2006;1;9500000
Кубок мира 2019;9;87891
Европа 1953;3;2375000
Реджо-нель-Эмилия 1962;1;24000000
Чемпионат мира 1961;4;2250000
Мемориал Таля 1975;0;38000000
Макартур 1975;1;18000000
Мемориал Таля 1956;2;4000000
Европа 1967;8;101562
Гран-при ФИДЕ 1993;6;15625
Линарес 1969;7;23438
Алушта 1989;0;21000000
Кубок мира 1980;2;4750000
Вена 2017;7;156250
Гашиш 1970;3;2375000
Турнир претендентов 2023;11;8789
Гашиш 2013;7;257812
Гран-при ФИДЕ 2006;7;85938
Цюрих 1983;0;2000000
Пальма 2000;9;9766
Алушта 1970;0;41000000
Макартур 1975;4;2250000
Пальма 1987;4;2125000
Балтийская цепь 2024;6;15625
Пальма 2000;2;1250000
Сент-Луис 2006;11;4395
Макартур 1975;3;4500000
Вейк-ан-Зее 2009;7;195312
Хогевен 2007;6;406250
Балтийская цепь 1956;5;593750
Чемпионат мира 1957;8;11719
Цюрих 1989;3;5375000
Кубок мира 2019;6;703125
Гран-при ФИДЕ 2003;5;1562500
Лондон 1982;7;375000
Макартур 2010;5;1093750
Биль 2024;1;8000000
Вена 1976;3;500000
Лондон 1964;1;15000000
Макартур 1975;7;39062
Цюрих 1989;2;10750000
Пальма 2000;10;4883
Цюрих 1969;5;437500
Лондон 1964;3;3750000
Чемпионат мира 1961;5;1125000
Балтийская цепь 2024;0;1000000
Вена 2017;0;20000000
Пальма 1987;0;34000000
Турнир претендентов 2023;8;70312
Политика 1956;3;2500000
Вена 1960;0;30000000
Турнир претендентов 2023;0;18000000
Чемпионат мира 1978;8;70312
Лондон 1990;4;2187500
Реджо-нель-Эмилия 1962;6;750000
Пальма 1987;1;17000000
Кубок мира 1980;4;1187500
Вейк-ан-Зее 2023;10;40039
Цюрих 1989;6;671875
Алушта 1983;3;3750000
Реджо-нель-Эмилия 1954;2;750000
Чемпионат мира 1993;2;250000
Вена 2009;0;15000000
Гашиш 1966;1;20000000
Чемпионат мира 1993;0;1000000
Чемпионат мира 1969;9;19531
Пойковский 1989;1;4500000
Макартур 2010;3;4375000
Лондон 1982;4;3000000
Макартур 2022;4;3125000
Турнир претендентов 2005;0;29000000
Чемпионат мира 1976;7;117188
Гашиш 1970;7;148438
Реджо-нель-Эмилия 1954;3;375000
Гран-при ФИДЕ 1980;6;125000
Чемпионат мира 1976;4;937500
Ставангер 2023;5;93750
Аэрофлот Опен 1975;3;6125000
Чемпионат мира 2000;12;4395
Вена 2009;1;7500000
Кубок мира 1980;0;19000000
Политика 1956;5;625000
Гашиш 1966;4;2500000
Чемпионат мира 1957;4;187500
Чемпионат мира 1969;6;156250
Гашиш 1966;2;10000000
Ставангер 2023;1;1500000
Европа 1967;1;13000000
Хогевен 2016;1;17000000
Гран-при ФИДЕ 2003;0;50000000
Аэрофлот Опен 2017;3;1125000
Чемпионат мира 1978;0;18000000
Турнир претендентов 2005;5;906250
Sinquefield Cup 1973;2;3500000
Гран-при ФИДЕ 1991;0;32000000
Гран-при ФИДЕ 1991;9;62500
Лондон 1982;0;48000000
Европа 1967;9;50781
Ставангер 1999;6;593750
Турнир претендентов 2005;3;3625000
Балтийская цепь 1956;0;19000000
Вена 1976;5;125000
Гран-при ФИДЕ 1993;3;125000
Чемпионат мира 2015;2;8750000
Гашиш 1966;0;40000000
Европа 1984;4;750000
Макартур 1975;3;625000
Вена 1957;1;3500000
Чемпионат мира 1976;2;3750000
Гашиш 2013;6;515625
Чемпионат мира 1978;11;8789
Чемпионат мира 1978;2;4500000
Хогевен 2007;1;13000000
Цюрих 1989;10;41992
Балтийская цепь 1999;10;22461
Балтийская цепь 2024;4;62500
Пальма 1991;7;132812
Вейк-ан-Зее 2009;11;12207
Политика 1956;8;78125
Кубок мира 1980;11;9277
Биль 1985;1;4000000
Сент-Луис 2006;0;9000000
Европа 1967;7;203125
Лондон 1990;1;17500000
Кубок мира 1980;9;37109
Вена 2017;2;5000000
Вейк-ан-Зее 2023;11;20020
Алушта 1983;5;937500
Политика 1956;9;39062
Пойковский 1955;4;2500000
Пальма 1992;7;335938
Европа 1984;0;12000000
Алушта 1970;2;10250000
Вейк-ан-Зее 2023;9;80078
Гран-при ФИДЕ 1980;2;2000000
Пойковский 1993;2;3750000
Турнир претендентов 2023;1;9000000
Лондон 1982;9;93750
Чемпионат мира 1993;4;62500
Мемориал Таля 1955;6;203125
Лондон 1981;4;375000
Кубок мира 1980;1;9500000
Аэрофлот Опен 2017;5;281250
Алушта 1983;2;7500000
Вейк-ан-Зее 1969;10;44922
Вена 2009;6;234375
Макартур 2010;2;8750000
Гран-при ФИДЕ 2006;1;5500000
Алушта 1983;0;30000000
Чемпионат мира 1969;1;5000000
Вена 2009;5;468750
Европа 2006;3;2375000
Политика 1956;0;20000000
Хогевен 1995;1;7000000
Вейк-ан-Зее 2023;1;20500000
Кубок мира 2024;9;17578
Алушта 1989;8;82031
Чемпионат мира 2000;0;18000000
Чемпионат мира 1961;11;17578
Вена 2009;10;14648
Линарес 1969;1;1500000
Аэрофлот Опен 2017;4;562500
Пальма 1991;6;265625
Политика 1956;7;156250
Алушта 2000;3;3500000
Цюрих 1969;9;27344
Алушта 1970;4;2562500
Лондон 1990;3;4375000
Турнир претендентов 2005;6;453125
Вейк-ан-Зее 2023;4;2562500
Лондон 1990;5;1093750
Вейк-ан-Зее 2023;0;41000000
Алушта 1989;6;328125
Реджо-нель-Эмилия 2005;3;2125000
Гран-при ФИДЕ 1991;5;1000000
Лондон 1981;8;23438
Чемпионат мира 1993;7;7812
Турнир претендентов 2004;6;62500
Балтийская цепь 2024;1;500000
Цюрих 1969;4;875000
Вена 1976;6;62500
Политика 1967;4;625000
Аэрофлот Опен 1962;3;5750000
Мемориал Таля 1955;5;406250
Цюрих 1989;11;20996
Пальма 1991;3;2125000
Вейк-ан-Зее 1969;9;89844
Вейк-ан-Зее 1969;6;718750
Гран-при ФИДЕ 1993;2;250000
Гашиш 1966;10;39062
Лондон 1981;1;3000000
Чемпионат мира 1985;2;8750000
Вейк-ан-Зее 1969;0;46000000
Политика 1967;1;5000000
Макартур 2022;7;390625
Гашиш 2013;1;16500000
Вейк-ан-Зее 2009;4;1562500
Вейк-ан-Зее 2009;12;6104
Ставангер 1999;9;74219
Чемпионат мира 1961;10;35156
Гашиш 2013;9;64453
Реджо-нель-Эмилия 2005;1;8500000
Вейк-ан-Зее 2023;6;640625
Пальма 2000;1;2500000
Реджо-нель-Эмилия 2005;2;4250000
Чемпионат мира 1976;9;29297
Чемпионат мира 2000;5;562500
Линарес 1969;2;750000
Линарес 1969;9;5859
Ставангер 2023;3;375000
Гран-при ФИДЕ 2006;6;171875
Макартур 1975;9;9766
Политика 1967;6;156250
Цюрих 1989;14;2625
Гран-при ФИДЕ 1991;3;4000000
Линарес 1965;3;6125000
Чемпионат мира 1976;0;15000000
Аэрофлот Опен 1962;2;11500000
Турнир претендентов 2004;2;1000000
Реджо-нель-Эмилия 1984;8;195312
Европа 1967;4;1625000
Гран-при ФИДЕ 2010;7;101562
Мемориал Таля 1956;5;500000
Кубок мира 1955;8;125000
Кубок мира 1955;1;16000000
Гран-при ФИДЕ 1980;5;250000
Гран-при ФИДЕ 2003;6;781250
Гашиш 2013;13;4028
Чемпионат мира 1957;5;93750
Политика 1967;7;78125
Ставангер 2023;9;5859
Реджо-нель-Эмилия 2005;9;33203
Чемпионат мира 1985;0;35000000
Чемпионат мира 1980;1;17000000
Политика 1956;10;19531
Лондон 1982;11;23438
Гран-при ФИДЕ 1991;12;7812
Линарес 1991;2;11250000
Чемпионат мира 1961;9;70312
Линарес 2024;3;6000000
Линарес 1991;5;1406250
Реджо-нель-Эмилия 2005;7;132812
Линарес 1965;0;49000000
Пальма 1992;1;21500000
Вена 1976;2;1000000
Гран-при ФИДЕ 1991;10;31250
Биль 2024;2;4000000
Пальма 1991;8;66406
Гран-при ФИДЕ 2010;0;13000000
Пальма 1991;0;17000000
Чемпионат мира 1978;3;2250000
Пойковский 1989;6;140625
Гран-при ФИДЕ 2010;9;25391
Европа 1984;2;3000000
Sinquefield Cup 1973;1;7000000
Чемпионат мира 2015;0;35000000
Кубок мира 1967;5;781250
Пойковский 1993;0;15000000
Европа 2006;0;19000000
Вейк-ан-Зее 2023;2;10250000
Линарес 2024;0;48000000
Цюрих 1989;12;10498
Макартур 1975;2;9000000
Вена 2009;8;58594
Гран-при ФИДЕ 2010;2;3250000
Мемориал Таля 1975;1;19000000
Гашиш 1970;1;9500000
Цюрих 1969;6;218750
Гран-при ФИДЕ 2006;3;1375000
Чемпионат мира 1969;0;10000000
Турнир претендентов 2005;4;1812500
Кубок мира 2024;6;140625
Чемпионат мира 1961;3;4500000
Гран-при ФИДЕ 2010;10;12695
Кубок мира 1967;10;24414
Гран-при ФИДЕ 2006;10;10742
Гран-при ФИДЕ 2003;1;25000000
Кубок мира 2019;8;175781
Макартур 1975;2;1250000
Кубок мира 1955;6;500000
Цюрих 1989;4;2687500
Пойковский 1955;5;1250000
Чемпионат мира 1961;14;2500
Гран-при ФИДЕ 2003;2;12500000
Чемпионат мира 1993;3;125000
Чемпионат мира 1993;8;3906
Гашиш 2011;2;4250000
Гран-при ФИДЕ 1991;13;3906
Линарес 1969;6;46875
Политика 1967;5;312500
Макартур 1975;9;70312
