name;place;prise
Гашиш 1959;1;22500000
Пойковский 1996;1;25000000
Балтийская цепь 2010;1;21000000
Цюрих 1961;4;2000000
Гашиш 1959;8;175781
Sinquefield Cup 1983;0;15000000
Макартур 1990;7;226562
Вена 2012;5;843750
Кубок мира 1982;10;2930
Алушта 2016;5;593750
Кубок мира 2008;9;11719
Аэрофлот Опен 2024;8;19531
Макартур 1950;8;62500
Пойковский 1996;5;1562500
Политика 2008;2;8750000
Пойковский 1996;12;12207
Кубок мира 1982;3;375000
Кубок мира 1960;3;2250000
Пойковский 1998;6;468750
Макартур 1978;0;20000000
Политика 1979;2;6500000
Гран-при ФИДЕ 1972;4;187500
Мемориал Таля 2011;9;3906
Лондон 1961;1;10500000
Алушта 2016;11;9277
Линарес 2008;6;640625
Тилбург 1985;2;2500000
Sinquefield Cup 1968;0;46000000
Макартур 2007;3;3750000
Турнир претендентов 1982;4;1562500
Кубок мира 1971;12;9521
Вейк-ан-Зее 1999;8;195312
Цюрих 1961;8;125000
Цюрих 1951;1;13500000
Сент-Луис 1964;1;13500000
Кубок мира 1971;10;38086
Ставангер 2008;1;19500000
Цюрих 1951;2;6750000
Чемпионат мира 2017;1;11500000
Политика 1989;1;16500000
Вена 1963;0;24000000
Алушта 2011;6;187500
Лондон 1962;7;31250
Пальма 1966;6;609375
Макартур 1950;7;125000
Ставангер 1970;4;2812500
Кубок мира 2008;12;2500
Пойковский 1996;9;97656
Макартур 1990;4;1812500
Пойковский 1996;2;12500000
Кубок мира 1971;13;4761
Кубок мира 1963;6;156250
Пойковский 1996;4;3125000
Гашиш 1956;3;2000000
Вена 2012;9;52734
Sinquefield Cup 1968;3;5750000
Линарес 2008;4;2562500
Лондон 1962;1;2000000
Макартур 1950;2;4000000
Цюрих 2017;2;750000
Сент-Луис 2015;10;28320
Кубок мира 1982;0;3000000
Ставангер 1970;2;11250000
Политика 1989;0;33000000
Лондон 1962;5;125000
Ставангер 2010;1;21500000
Пойковский 1998;3;3750000
Балтийская цепь 1972;12;9766
Гашиш 1997;3;2500000
Реджо-нель-Эмилия 1954;11;12695
Шамкович 1956;1;22000000
Реджо-нель-Эмилия 1967;2;5750000
Макартур 1950;10;15625
Цюрих 1961;2;8000000
Кубок мира 1982;9;5859
Кубок мира 1963;0;10000000
Сент-Луис 1992;2;5750000
Аэрофлот Опен 2024;1;2500000
Гашиш 2014;7;23438
Кубок мира 1960;8;70312
Гашиш 2014;3;375000
Сент-Луис 1964;13;3296
Пойковский 1998;2;7500000
Ставангер 2010;3;5375000
Ставангер 1970;5;1406250
Сент-Луис 2015;6;453125
Макартур 1990;12;7080
Вейк-ан-Зее 1986;2;2000000
Мемориал Таля 2011;11;2500
Мемориал Таля 2011;12;2500
Балтийская цепь 2010;5;1312500
Европа 1970;5;1187500
Кубок мира 1960;4;1125000
Реджо-нель-Эмилия 1967;5;718750
Ставангер 1970;3;5625000
Вена 1961;4;1187500
Ставангер 1970;1;22500000
Гашиш 2014;4;187500
Вейк-ан-Зее 1958;1;23000000
Хогевен 1970;6;765625
Шамкович 1952;1;22500000
Цюрих 1951;7;210938
Цюрих 1961;7;250000
Европа 1970;3;4750000
Макартур 1990;9;56641
Вейк-ан-Зее 1986;3;1000000
Мемориал Таля 2011;8;7812
Макартур 1978;10;19531
Сент-Луис 1964;14;2000
Чемпионат мира 1950;6;750000
Кубок мира 1971;4;2437500
Алушта 2016;10;18555
Политика 2005;3;4375000
Балтийская цепь 1982;3;2000000
Ставангер 1970;9;87891
Sinquefield Cup 1983;2;3750000
Цюрих 2017;4;187500
Реджо-нель-Эмилия 1954;12;6348
Пойковский 1996;3;6250000
Вена 1961;5;593750
Кубок мира 1971;5;1218750
Европа 1952;4;687500
Цюрих 2017;3;375000
Политика 1989;4;2062500
Дортмунд 1996;7;375000
Сент-Луис 1992;1;11500000
Кубок мира 1971;1;19500000
Алушта 2016;4;1187500
Алушта 2010;0;25000000
Реджо-нель-Эмилия 1954;2;6500000
Вена 1963;1;12000000
Дортмунд 1996;2;12000000
Линарес 1975;9;29297
Кубок мира 2008;1;3000000
Аэрофлот Опен 2024;11;2500
Вейк-ан-Зее 1999;5;1562500
Гашиш 2002;2;6000000
Алушта 2011;1;6000000
Ставангер 2010;0;43000000
Алушта 2011;0;12000000
Дортмунд 1996;1;24000000
Чемпионат мира 1950;7;375000
Гашиш 2014;0;3000000
Вена 1963;10;23438
Пальма 1966;5;1218750
Дортмунд 1996;6;750000
Пойковский 1998;0;30000000
Макартур 1950;4;1000000
Sinquefield Cup 1983;5;468750
Балтийская цепь 2010;3;5250000
Алушта 1972;3;5875000
Линарес 1975;4;937500
Гашиш 1956;5;500000
Пойковский 1996;11;24414
Алушта 2010;8;97656
Вена 2012;7;210938
Сент-Луис 2015;5;906250
Алушта 2011;4;750000
Вена 2012;11;13184
Гашиш 2014;6;46875
Sinquefield Cup 1984;0;41000000
Тилбург 1985;5;312500
Алушта 2005;0;7000000
Пальма 1969;10;37109
Балтийская цепь 1972;11;19531
Sinquefield Cup 1984;8;160156
Реджо-нель-Эмилия 1954;5;812500
Шамкович 1952;4;2812500
Линарес 1975;0;15000000
Мемориал Таля 2011;7;15625
Макартур 1978;5;625000
Sinquefield Cup 1983;3;1875000
Лондон 1951;11;3906
Вена 1961;10;18555
Макартур 1990;5;906250
Кубок мира 1963;2;2500000
Аэрофлот Опен 2024;9;9766
Шамкович 1956;2;11000000
Макартур 1978;7;156250
Тилбург 1981;6;203125
Ставангер 1963;0;38000000
Аэрофлот Опен 1954;1;21500000
Гашиш 1956;6;250000
Sinquefield Cup 2002;0;35000000
Цюрих 2017;1;1500000
Реджо-нель-Эмилия 1989;2;8750000
Алушта 2016;6;296875
Лондон 1962;6;62500
Чемпионат мира 2017;6;359375
Ставангер 1963;2;9500000
Лондон 1951;12;1953
Гашиш 1956;0;16000000
Ставангер 2019;1;11000000
Цюрих 1968;1;16000000
Кубок мира 1982;8;11719
Пальма 1966;8;152344
Ставангер 2019;8;85938
Алушта 2005;1;3500000
Кубок мира 1971;2;9750000
Гашиш 1997;0;20000000
Цюрих 2017;5;93750
Чемпионат мира 1950;10;46875
Линарес 2008;3;5125000
Вена 1961;2;4750000
Мемориал Таля 2011;2;500000
Ставангер 2008;3;4875000
Ставангер 1970;6;703125
Политика 1979;0;26000000
Реджо-нель-Эмилия 1954;6;406250
Политика 1989;1;20500000
Мемориал Таля 2011;0;2000000
Политика 1989;0;41000000
Гашиш 2014;10;2930
Чемпионат мира 1950;5;1500000
Цюрих 1961;11;15625
Гран-при ФИДЕ 1997;4;312500
Пальма 2011;1;19000000
Дортмунд 1996;10;46875
Гашиш 1959;4;2812500
Мемориал Таля 2011;1;1000000
Турнир претендентов 1982;8;97656
Сент-Луис 1964;4;1687500
Лондон 1962;3;500000
Турнир претендентов 1982;0;25000000
Ставангер 1963;1;19000000
Лондон 1951;9;15625
Аэрофлот Опен 1953;2;8250000
Пойковский 1996;6;781250
Балтийская цепь 1972;4;2500000
Гран-при ФИДЕ 1997;8;19531
Тилбург 1985;9;19531
Макартур 1950;3;2000000
Чемпионат мира 1950;9;93750
Ставангер 1970;8;175781
Лондон 1951;13;1500
Пойковский 1998;5;937500
Балтийская цепь 1972;8;156250
Пальма 1966;10;38086
Макартур 1978;12;4883
Кубок мира 1963;8;39062
Лондон 1951;1;4000000
Макартур 1950;12;3906
Шамкович 1956;0;44000000
Лондон 1961;0;21000000
Макартур 2007;5;937500
Вейк-ан-Зее 1986;1;4000000
Sinquefield Cup 1984;5;1281250
Лондон 1962;8;15625
Политика 1979;3;3250000
Гран-при ФИДЕ 1997;0;5000000
Хогевен 1970;7;382812
Кубок мира 2008;11;2930
Макартур 1990;8;113281
Гашиш 1956;4;1000000
Сент-Луис 2015;2;7250000
Вена 1963;2;6000000
Сент-Луис 2015;7;226562
Гашиш 1956;1;8000000
Пальма 2011;2;9500000
Политика 2005;1;17500000
Лондон 1961;2;5250000
Алушта 2011;7;93750
Чемпионат мира 1950;0;48000000
Ставангер 1976;2;2250000
Кубок мира 2008;8;23438
Реджо-нель-Эмилия 1989;1;17500000
Вейк-ан-Зее 1999;4;3125000
Политика 1979;4;1625000
Алушта 2016;1;9500000
Лондон 1951;10;7812
Гран-при ФИДЕ 1972;3;375000
Мемориал Таля 2011;5;62500
Лондон 1961;7;164062
Кубок мира 1963;7;78125
Чемпионат мира 2017;0;23000000
Реджо-нель-Эмилия 1954;4;1625000
Пальма 1966;7;304688
Цюрих 1961;9;62500
Балтийская цепь 1972;1;20000000
Европа 1952;6;171875
Алушта 2016;3;2375000
Кубок мира 1982;1;1500000
Пальма 2011;0;38000000
Кубок мира 1971;11;19043
Сент-Луис 1964;5;843750
Европа 1952;0;11000000
Ставангер 2008;2;9750000
Шамкович 1952;3;5625000
Sinquefield Cup 1983;10;14648
Аэрофлот Опен 1953;0;33000000
Турнир претендентов 1982;9;48828
Пальма 1969;6;593750
Макартур 1978;13;2441
Макартур 2007;0;30000000
Макартур 1990;2;7250000
Гран-при ФИДЕ 1997;2;1250000
Кубок мира 1971;9;76172
Сент-Луис 1964;10;26367
Цюрих 1961;3;4000000
Макартур 1990;6;453125
Сент-Луис 2015;0;29000000
Алушта 2011;5;375000
Гашиш 2002;3;3000000
Пальма 1969;8;148438
Мемориал Таля 2011;3;250000
Ставангер 2019;0;22000000
Тилбург 1985;6;156250
Пальма 1966;2;9750000
Макартур 1990;3;3625000
Европа 1970;8;148438
Балтийская цепь 1972;7;312500
Макартур 1950;6;250000
Дортмунд 1996;8;187500
Гашиш 2002;0;24000000
Гашиш 2014;5;93750
Ставангер 2019;9;42969
Вена 1961;7;148438
Пальма 1969;3;4750000
Вейк-ан-Зее 1999;2;12500000
Ставангер 2019;5;687500
Политика 2005;4;2187500
Гашиш 2002;1;12000000
Аэрофлот Опен 1954;4;2687500
Гашиш 2014;2;750000
Тилбург 1985;8;39062
Пальма 1969;11;18555
Линарес 1975;2;3750000
Реджо-нель-Эмилия 1954;8;101562
Сент-Луис 1964;6;421875
Шамкович 1952;0;45000000
Гашиш 1956;2;4000000
Политика 2005;5;1093750
Аэрофлот Опен 1954;2;10750000
Хогевен 1970;9;95703
Лондон 1951;0;8000000
Балтийская цепь 1972;5;1250000
Алушта 2016;7;148438
Балтийская цепь 1982;0;16000000
Sinquefield Cup 1984;4;2562500
Алушта 2010;4;1562500
Европа 1952;1;5500000
Турнир претендентов 1982;11;12207
Хогевен 1970;2;12250000
Линарес 1975;8;58594
Кубок мира 1982;6;46875
Пойковский 1996;8;195312
Тилбург 1981;4;812500
Аэрофлот Опен 2024;5;156250
Реджо-нель-Эмилия 1954;0;26000000
Вена 1963;4;1500000
Вена 2012;6;421875
Цюрих 1968;4;2000000
Реджо-нель-Эмилия 1954;1;13000000
Sinquefield Cup 1983;4;937500
Дортмунд 1996;4;3000000
Гашиш 2002;4;1500000
Реджо-нель-Эмилия 1967;4;1437500
Европа 1970;6;593750
Реджо-нель-Эмилия 1967;1;11500000
Тилбург 1985;1;5000000
Реджо-нель-Эмилия 1954;10;25391
Цюрих 1951;3;3375000
Кубок мира 1960;7;140625
Гран-при ФИДЕ 1997;9;9766
Линарес 2008;0;41000000
Вена 1961;1;9500000
Тилбург 1985;7;78125
Линарес 1975;6;234375
Политика 2005;0;35000000
Гашиш 2014;9;5859
Цюрих 1961;0;32000000
Ставангер 2019;2;5500000
Алушта 1972;2;11750000
Реджо-нель-Эмилия 1954;14;2500
Лондон 1951;8;31250
Гашиш 2002;5;750000
Пальма 1969;4;2375000
Ставангер 1970;10;43945
Кубок мира 1960;11;8789
Макартур 1978;11;9766
Алушта 2011;3;1500000
Пальма 1966;9;76172
Ставангер 1970;7;351562
Турнир претендентов 1982;10;24414
Вейк-ан-Зее 1999;1;25000000
Макартур 2007;4;1875000
Макартур 1990;13;3540
Пойковский 1996;0;50000000
Гашиш 1959;5;1406250
Гран-при ФИДЕ 1997;10;4883
Кубок мира 1971;0;39000000
Кубок мира 1960;1;9000000
Ставангер 2008;0;39000000
Кубок мира 1971;7;304688
Сент-Луис 1964;3;3375000
Кубок мира 2008;5;187500
Гран-при ФИДЕ 1972;7;23438
Балтийская цепь 2010;4;2625000
Гран-при ФИДЕ 1997;6;78125
Турнир претендентов 1982;1;12500000
Лондон 1951;5;250000
Ставангер 1963;5;1187500
Лондон 1962;4;250000
Макартур 1950;5;500000
Вена 1961;9;37109
Пальма 1969;1;19000000
Вена 1961;0;19000000
Sinquefield Cup 1984;9;80078
Ставангер 1970;0;45000000
Алушта 2016;12;4639
Хогевен 1970;1;24500000
Цюрих 1968;0;32000000
Аэрофлот Опен 2024;4;312500
Кубок мира 1982;11;2000
Реджо-нель-Эмилия 1954;13;3174
Ставангер 2010;2;10750000
Лондон 1961;5;656250
Цюрих 1951;0;27000000
Лондон 1951;4;500000
Пальма 1969;2;9500000
Тилбург 1985;0;10000000
Кубок мира 1960;0;18000000
Алушта 2010;1;12500000
Вена 1961;3;2375000
Пойковский 1996;13;6104
Ставангер 2019;6;343750
Макартур 1950;9;31250
Хогевен 1970;4;3062500
Аэрофлот Опен 1953;1;16500000
Кубок мира 2008;4;375000
Цюрих 2017;0;3000000
Кубок мира 1963;4;625000
Кубок мира 1960;9;35156
Балтийская цепь 1972;6;625000
Цюрих 1961;1;16000000
Сент-Луис 1964;2;6750000
Макартур 1978;3;2500000
Гран-при ФИДЕ 1997;1;2500000
Кубок мира 2008;0;6000000
Ставангер 1976;3;1125000
Сент-Луис 1964;7;210938
Цюрих 1951;6;421875
Аэрофлот Опен 1954;0;43000000
Сент-Луис 1964;8;105469
Вена 2012;2;6750000
Ставангер 2008;4;2437500
Тилбург 1981;3;1625000
Sinquefield Cup 1984;7;320312
Гашиш 2014;11;2500
Европа 1970;12;9277
Макартур 1990;14;1770
Турнир претендентов 1982;7;195312
Кубок мира 1982;12;2000
Макартур 2007;1;15000000
Политика 2008;1;17500000
Макартур 1978;2;5000000
Ставангер 1976;4;562500
Чемпионат мира 2017;7;179688
Европа 1970;2;9500000
Сент-Луис 2015;8;113281
Вейк-ан-Зее 1958;2;11500000
Гран-при ФИДЕ 1997;3;625000
Реджо-нель-Эмилия 1989;0;35000000
Вейк-ан-Зее 1986;5;250000
Тилбург 1985;3;1250000
Сент-Луис 2015;9;56641
Вена 2012;12;6592
Гашиш 1997;2;5000000
Линарес 1975;3;1875000
Ставангер 1963;4;2375000
Лондон 1951;6;125000
Сент-Луис 1992;0;23000000
Пойковский 1998;4;1875000
Пальма 1966;0;39000000
Политика 1979;1;13000000
Чемпионат мира 2017;3;2875000
Гашиш 1997;1;10000000
Цюрих 1951;4;1687500
Макартур 1990;1;14500000
Макартур 1978;8;78125
Шамкович 1952;2;11250000
Кубок мира 1982;2;750000
Лондон 1951;2;2000000
Макартур 1980;0;33000000
Ставангер 2019;3;2750000
Тилбург 1985;4;625000
Вейк-ан-Зее 1958;0;46000000
Вена 1961;8;74219
Пойковский 1996;7;390625
Гашиш 2014;1;1500000
Европа 1970;4;2375000
Политика 1989;3;5125000
Пойковский 1998;1;15000000
Балтийская цепь 2010;2;10500000
Макартур 1950;13;1953
Макартур 1978;9;39062
Дортмунд 1996;3;6000000
Линарес 1975;5;468750
Тилбург 1981;0;13000000
Sinquefield Cup 1983;11;7324
Сент-Луис 1964;9;52734
Алушта 2010;2;6250000
Лондон 1961;6;328125
Ставангер 1963;3;4750000
Пальма 1966;4;2437500
Вейк-ан-Зее 1986;0;8000000
Балтийская цепь 1972;9;78125
Sinquefield Cup 1983;14;2500
Лондон 1962;0;4000000
Sinquefield Cup 1983;9;29297
Линарес 2008;5;1281250
Алушта 2005;2;1750000
Кубок мира 2008;6;93750
Сент-Луис 1964;0;27000000
Сент-Луис 2015;11;14160
Пойковский 1996;10;48828
Гран-при ФИДЕ 1997;11;2441
Макартур 2007;2;7500000
Балтийская цепь 1972;3;5000000
Алушта 2016;8;74219
Линарес 2008;1;20500000
Кубок мира 2008;10;5859
Макартур 1980;1;16500000
Реджо-нель-Эмилия 1954;7;203125
Макартур 1990;10;28320
Чемпионат мира 1950;1;24000000
Ставангер 2008;5;1218750
Кубок мира 1963;3;1250000
Макартур 1990;0;29000000
Цюрих 1968;6;500000
Sinquefield Cup 2002;1;17500000
Sinquefield Cup 1968;1;23000000
Алушта 2010;7;195312
Ставангер 2019;10;21484
Тилбург 1981;5;406250
Sinquefield Cup 1983;8;58594
Цюрих 1951;5;843750
Аэрофлот Опен 1954;3;5375000
Вена 1963;11;11719
Реджо-нель-Эмилия 1967;0;23000000
Кубок мира 1960;2;4500000
Гашиш 1959;0;45000000
Ставангер 1976;5;281250
Чемпионат мира 1950;2;12000000
Макартур 1978;4;1250000
Политика 1989;4;2562500
Турнир претендентов 1982;3;3125000
Макартур 1950;11;7812
Кубок мира 1982;7;23438
Гран-при ФИДЕ 1972;0;3000000
Лондон 1962;9;7812
Кубок мира 2008;2;1500000
Линарес 1975;1;7500000
Гашиш 1959;6;703125
Пальма 1969;0;38000000
Европа 1970;11;18555
Сент-Луис 1964;11;13184
Макартур 1990;11;14160
Хогевен 1970;5;1531250
Кубок мира 2008;13;2500
Цюрих 1961;10;31250
Гран-при ФИДЕ 1972;1;1500000
Вейк-ан-Зее 1999;3;6250000
Политика 1989;6;515625
Балтийская цепь 1982;1;8000000
Турнир претендентов 1982;2;6250000
Sinquefield Cup 1983;12;3662
Политика 1989;5;1031250
Лондон 1962;2;1000000
Вена 2012;8;105469
Макартур 1950;1;8000000
Макартур 1978;1;10000000
Кубок мира 1963;5;312500
Sinquefield Cup 1968;2;11500000
Вейк-ан-Зее 1999;6;781250
Алушта 2005;3;875000
Хогевен 1970;0;49000000
Вейк-ан-Зее 1999;7;390625
