name;rating;convenience;security;functionality;comment
Док 48;0.6;4;2;1;Это здание представляет собой типичный образец современной архитектуры.
Мост 11;0.3;3;3;5;Это здание является примером функционального дизайна.
Тенета 47;2.4;1;4;3;Это здание очень функционально.
Логово 7;2.0;1;5;3;У этого здания отличная архитектура.
Дуплянка 99;2.9;3;4;5;Это здание прекрасно вписывается в окружающий ландшафт.
Фазенда 33;1.2;5;5;2;Это здание не имеет особых архитектурных особенностей.
Пирс 71;4.7;2;1;1;У этого здания отличная архитектура.
Башня 9;2.1;5;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Университет 60;1.3;5;2;5;Это здание построено из стандартных строительных материалов.
Альпакарий 3;4.9;3;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Осатаник 58;0.8;1;4;4;Это здание является примером функционального дизайна.
Улей 50;4.5;5;1;5;Это здание является примером функционального дизайна.
Фазенда 33;0.9;4;5;1;Это здание имеет стандартную конструкцию.
Осатаник 29;0.8;5;5;5;Это здание является примером функционального дизайна.
Канализация 77;3.0;1;3;4;Это здание построено из стандартных строительных материалов.
Церковь 55;4.3;3;2;4;Это здание является примером функционального дизайна.
Утятник 38;3.3;3;1;1;Мне нравится дизайн этого здания.
Улей 50;5.0;2;4;1;Это великолепное здание!
Мануфактура 6;3.3;4;4;5;Это здание является примером функционального дизайна.
Электростанция 57;2.1;1;4;4;Это здание имеет стандартную конструкцию.
Лежбище 72;2.9;5;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Виадук 22;3.1;5;2;3;Это здание является примером функционального дизайна.
Термитник 58;3.8;5;1;4;Это здание не имеет особых архитектурных особенностей.
Сеть 62;1.3;3;1;3;Это здание построено из стандартных строительных материалов.
Супермаркет 40;1.2;4;1;4;Это здание является примером функционального дизайна.
Замок 64;3.5;2;5;5;Это великолепное здание!
Замок 64;2.4;2;2;5;Это здание построено из стандартных строительных материалов.
Институт 57;0.1;5;4;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Детский сад 95;4.0;2;1;2;Это здание построено из стандартных строительных материалов.
Улей 63;3.3;2;5;3;Это здание является примером функционального дизайна.
Причал 66;2.4;2;5;5;Это здание является примером функционального дизайна.
Библиотека 76;1.7;2;3;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Свиноферма 8;2.3;1;1;1;Это здание имеет стандартную конструкцию.
Шмелиное гнездо 68;0.6;5;3;2;Это здание построено из стандартных строительных материалов.
Лосятник 25;3.5;5;4;3;Это здание является примером функционального дизайна.
Лежбище 72;4.1;4;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Отель 97;5.0;5;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Гараж 20;1.4;5;3;2;Это здание представляет собой типичный образец современной архитектуры.
Институт 57;2.2;3;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Институт 57;2.6;2;1;4;Это здание не имеет особых архитектурных особенностей.
Свиноферма 8;4.4;1;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Аптека 53;4.9;5;4;5;Это здание имеет стандартную конструкцию.
Конюшня 55;3.4;5;5;1;Это здание не имеет особых архитектурных особенностей.
Мостки 58;5.0;5;1;5;Это здание очень функционально.
Отель 2;3.6;1;3;2;Это здание не имеет особых архитектурных особенностей.
Логово 7;0.2;1;5;3;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 100;4.3;5;5;3;Это здание имеет стандартную конструкцию.
Супермаркет 21;3.6;1;5;2;У этого здания отличная архитектура.
Фазенда 49;0.5;4;3;5;Это здание не имеет особых архитектурных особенностей.
Супермаркет 40;4.2;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Борть 74;2.8;1;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Шале 41;2.4;2;3;1;Это здание представляет собой типичный образец современной архитектуры.
Фазенда 49;2.2;4;2;1;Это здание представляет собой типичный образец современной архитектуры.
Отель 2;0.5;3;2;2;Это здание представляет собой типичный образец современной архитектуры.
Лифт 92;1.6;2;5;4;Это здание построено из стандартных строительных материалов.
Университет 96;0.1;2;4;2;Это здание является примером функционального дизайна.
Замок 64;4.0;2;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лифт 92;3.4;2;3;2;Это здание является примером функционального дизайна.
Больница 64;3.4;2;4;1;Это здание представляет собой типичный образец современной архитектуры.
Чердак 4;3.6;1;1;3;Это здание имеет стандартную конструкцию.
Пандус 83;1.7;5;3;1;Это здание построено из стандартных строительных материалов.
Бомбоубежище 69;0.4;5;4;3;Это здание является примером функционального дизайна.
Причал 66;3.9;3;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Улей 50;3.0;4;4;4;Это здание построено из стандартных строительных материалов.
Электростанция 57;4.4;1;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Фазенда 33;0.2;1;5;2;Это здание очень функционально.
Пасека 16;4.7;3;4;1;Это здание не имеет особых архитектурных особенностей.
Пасека 16;0.8;5;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Свиноферма 10;0.4;1;3;1;Это здание построено из стандартных строительных материалов.
Бомбоубежище 69;1.9;5;5;4;Это здание очень функционально.
Бомбоубежище 69;3.7;3;3;3;Это здание построено из стандартных строительных материалов.
Свиноферма 8;2.2;2;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Шмелиное гнездо 68;0.6;1;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Канализация 77;3.7;5;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Логово 7;1.9;1;1;2;У этого здания отличная архитектура.
Детский сад 95;2.8;5;2;3;У этого здания отличная архитектура.
Дуплянка 99;2.0;1;2;2;Это здание очень функционально.
Университет 96;3.4;5;3;3;Это здание является примером функционального дизайна.
Институт 39;4.8;5;3;2;Это здание является примером функционального дизайна.
Лосятник 25;3.4;1;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Свиноферма 8;4.1;3;4;2;Это здание очень функционально.
Мостки 58;4.5;1;3;1;Это здание очень функционально.
Виадук 22;3.4;3;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Страусятник 81;1.2;1;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Университет 50;1.5;1;2;3;Это здание прекрасно вписывается в окружающий ландшафт.
Верфь 56;3.8;1;1;3;Это здание не имеет особых архитектурных особенностей.
Больница 64;3.9;5;1;4;Это здание представляет собой типичный образец современной архитектуры.
Псарня 11;1.6;5;2;2;У этого здания отличная архитектура.
Верфь 56;0.4;3;2;1;Это здание не имеет особых архитектурных особенностей.
Верфь 56;2.3;5;4;4;Это здание очень функционально.
Шале 41;4.1;4;5;1;Это здание имеет стандартную конструкцию.
Улей 63;4.5;1;4;1;Это здание очень функционально.
Мансарда 62;2.0;3;3;5;Это здание построено из стандартных строительных материалов.
Развязка 64;2.0;1;4;3;Это здание не имеет особых архитектурных особенностей.
Бомбоубежище 69;1.2;4;4;3;Это великолепное здание!
Пирс 71;1.8;3;3;4;Это здание не имеет особых архитектурных особенностей.
Мостки 42;2.3;4;3;2;Это здание построено из стандартных строительных материалов.
Виадук 41;1.4;3;4;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Тоннель 64;4.5;2;5;3;Это здание построено из стандартных строительных материалов.
Мостки 42;3.1;3;1;4;Мне нравится дизайн этого здания.
Мансарда 62;3.7;2;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Крольчатник 18;5.0;3;5;4;Мне нравится дизайн этого здания.
Кошара 22;3.9;5;5;2;Это здание не имеет особых архитектурных особенностей.
Электростанция 57;4.1;1;2;1;Это здание прекрасно вписывается в окружающий ландшафт.
Нора 83;3.5;1;1;2;Это здание представляет собой типичный образец современной архитектуры.
Лежбище 72;0.9;1;3;2;Это здание является примером функционального дизайна.
Конюшня 55;0.2;3;4;3;Это здание не имеет особых архитектурных особенностей.
Свиноферма 10;3.6;4;2;2;Это здание является примером функционального дизайна.
Шмелиное гнездо 68;2.5;4;5;5;Это здание представляет собой типичный образец современной архитектуры.
Мост 11;2.3;1;2;4;Это великолепное здание!
Детский сад 95;3.5;2;4;3;Это здание построено из стандартных строительных материалов.
Университет 60;1.8;1;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Свиноферма 61;4.4;1;5;5;Это здание представляет собой типичный образец современной архитектуры.
Церковь 55;4.7;2;1;3;Мне нравится дизайн этого здания.
Пасека 16;2.8;4;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Тоннель 64;2.8;2;5;2;Это здание построено из стандартных строительных материалов.
Лосятник 25;3.4;3;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Детский сад 95;4.3;2;2;3;Это здание очень функционально.
Псарня 54;3.3;1;3;2;Это здание очень функционально.
Мануфактура 6;4.6;3;2;5;Это здание является примером функционального дизайна.
Университет 50;4.6;5;4;1;У этого здания отличная архитектура.
Электростанция 57;2.1;1;5;3;Мне нравится дизайн этого здания.
Башня 9;1.7;3;4;3;Это здание является примером функционального дизайна.
Виадук 41;1.4;1;2;5;Это здание очень функционально.
Сеть 62;2.4;3;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Свиноферма 10;2.6;2;3;4;Это здание является примером функционального дизайна.
Виадук 41;3.3;2;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Верфь 56;0.7;2;5;5;У этого здания отличная архитектура.
Псарня 54;0.2;1;5;3;Это здание является примером функционального дизайна.
Свиноферма 61;4.7;5;4;3;Это здание представляет собой типичный образец современной архитектуры.
Пасека 16;1.3;5;5;1;Мне нравится дизайн этого здания.
Свиноферма 8;1.0;4;5;1;Это здание не имеет особых архитектурных особенностей.
Свиноферма 8;1.3;3;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Мостки 58;0.4;2;3;1;Это здание построено из стандартных строительных материалов.
Чердак 4;4.0;2;3;4;Это здание представляет собой типичный образец современной архитектуры.
Виадук 28;4.6;3;5;4;Это здание представляет собой типичный образец современной архитектуры.
Фазенда 49;0.4;5;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гараж 20;1.1;2;5;2;Это здание построено из стандартных строительных материалов.
Альпакарий 3;1.9;5;1;1;Это здание является примером функционального дизайна.
Электростанция 57;1.0;3;5;2;Это здание не имеет особых архитектурных особенностей.
Виадук 28;1.9;2;3;1;Это здание очень функционально.
Университет 50;0.4;4;2;1;Это здание имеет стандартную конструкцию.
Дуплянка 99;0.8;4;1;1;Это здание построено из стандартных строительных материалов.
Осатаник 29;1.6;5;3;3;Это здание построено из стандартных строительных материалов.
Университет 96;2.3;3;4;5;Это здание не имеет особых архитектурных особенностей.
Мансарда 62;4.4;1;1;4;Это великолепное здание!
Улей 50;3.3;3;4;3;Это здание представляет собой типичный образец современной архитектуры.
Библиотека 76;2.7;5;4;1;Это здание построено из стандартных строительных материалов.
Больница 64;1.1;2;2;3;Это здание имеет стандартную конструкцию.
Особняк 9;4.7;4;1;4;Это здание является примером функционального дизайна.
Замок 64;5.0;3;2;4;Это здание является примером функционального дизайна.
Псарня 11;4.3;3;1;4;Это здание построено из стандартных строительных материалов.
Улей 63;1.2;4;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Фазенда 49;1.4;2;5;2;Это здание построено из стандартных строительных материалов.
Мансарда 62;3.3;5;2;4;Это здание представляет собой типичный образец современной архитектуры.
Пасека 16;1.8;2;3;2;Это здание представляет собой типичный образец современной архитектуры.
Конюшня 55;0.4;5;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мостки 58;4.8;1;4;4;Это здание не имеет особых архитектурных особенностей.
Альпакарий 3;3.6;3;5;1;У этого здания отличная архитектура.
Пирс 71;1.0;2;2;4;Это здание имеет стандартную конструкцию.
Институт 57;2.0;5;3;1;Это здание не имеет особых архитектурных особенностей.
Псарня 54;4.5;4;3;5;Это здание является примером функционального дизайна.
Фазенда 49;4.0;3;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бункер 68;0.7;1;2;1;Это здание имеет стандартную конструкцию.
Псарня 54;1.4;4;4;1;Это здание является примером функционального дизайна.
Верфь 56;3.6;2;1;5;Это здание прекрасно вписывается в окружающий ландшафт.
Башня 9;2.8;1;5;5;Это великолепное здание!
Супермаркет 40;0.9;5;4;2;У этого здания отличная архитектура.
Больница 64;0.4;3;2;5;Это здание имеет стандартную конструкцию.
Фазенда 49;2.7;3;1;1;Это здание построено из стандартных строительных материалов.
Осатаник 29;1.3;4;4;3;Это здание имеет стандартную конструкцию.
Крольчатник 18;4.4;4;5;1;Это здание является примером функционального дизайна.
Фазенда 33;2.9;4;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Причал 66;0.2;1;1;5;Это здание является примером функционального дизайна.
Магазин 26;3.2;1;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Док 48;3.7;2;4;3;Это здание имеет стандартную конструкцию.
Детский сад 76;2.9;4;4;2;Это здание не имеет особых архитектурных особенностей.
Фазенда 33;4.8;2;4;5;Это здание имеет стандартную конструкцию.
Офис 26;0.4;3;5;1;Это здание построено из стандартных строительных материалов.
Бункер 68;4.1;1;3;1;Это здание является примером функционального дизайна.
Осатаник 29;3.1;5;2;2;Это здание имеет стандартную конструкцию.
Дуплянка 99;3.4;3;4;1;Это здание является примером функционального дизайна.
Театр 38;2.4;5;5;2;Это здание не имеет особых архитектурных особенностей.
Библиотека 76;3.5;4;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Университет 60;2.9;1;4;5;Это здание представляет собой типичный образец современной архитектуры.
Развязка 64;2.3;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Крольчатник 81;0.5;5;4;3;Это здание является примером функционального дизайна.
Конюшня 55;2.5;5;5;5;Это здание очень функционально.
Университет 96;3.1;4;5;4;Мне нравится дизайн этого здания.
Электростанция 57;5.0;2;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Нора 83;0.5;2;2;1;Это здание имеет стандартную конструкцию.
Театр 38;4.8;2;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Электростанция 57;2.0;1;5;3;Это здание представляет собой типичный образец современной архитектуры.
Университет 60;3.7;2;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Детский сад 76;0.4;1;5;3;Это здание не имеет особых архитектурных особенностей.
Отель 2;1.4;4;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Страусятник 81;2.8;5;4;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Отель 2;2.5;4;3;2;Это здание не имеет особых архитектурных особенностей.
Мансарда 62;4.9;3;5;3;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 62;0.3;2;1;5;Мне нравится дизайн этого здания.
Отель 97;2.2;1;2;1;Это здание не имеет особых архитектурных особенностей.
Гараж 20;4.2;2;5;5;Это здание является примером функционального дизайна.
Свиноферма 61;3.5;4;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Супермаркет 21;1.1;3;5;5;Это здание прекрасно вписывается в окружающий ландшафт.
Нора 83;2.8;3;4;2;Это здание представляет собой типичный образец современной архитектуры.
Шмелиное гнездо 68;1.9;2;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Тоннель 100;4.6;5;2;4;Это здание имеет стандартную конструкцию.
Нора 83;0.7;3;5;5;Это здание построено из стандартных строительных материалов.
Пасека 16;1.1;5;5;3;Это здание построено из стандартных строительных материалов.
Пандус 83;0.3;1;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Шмелиное гнездо 68;0.1;5;2;3;Это здание является примером функционального дизайна.
Осатаник 58;0.9;3;1;3;Это здание построено из стандартных строительных материалов.
Бункер 68;3.2;4;2;5;У этого здания отличная архитектура.
Бункер 68;3.5;5;4;2;Это здание является примером функционального дизайна.
Больница 64;2.2;4;4;2;Это здание представляет собой типичный образец современной архитектуры.
Бункер 68;4.2;4;5;2;Это великолепное здание!
Причал 66;4.4;1;2;5;У этого здания отличная архитектура.
Мостки 58;0.9;2;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Университет 50;4.7;4;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Мост 11;3.8;1;4;2;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 100;0.6;4;4;5;Это здание построено из стандартных строительных материалов.
Канализация 77;4.2;4;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Псарня 54;2.8;1;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Док 48;3.9;5;3;2;Это здание не имеет особых архитектурных особенностей.
Канализация 77;0.7;3;4;5;Это здание имеет стандартную конструкцию.
Мостки 94;3.5;5;1;2;Это здание представляет собой типичный образец современной архитектуры.
Пандус 83;3.6;2;4;3;У этого здания отличная архитектура.
Башня 9;3.5;4;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Виадук 28;1.2;1;4;2;Это здание является примером функционального дизайна.
Замок 64;4.8;4;3;3;Это здание является примером функционального дизайна.
Дуплянка 99;1.4;2;3;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Псарня 54;1.1;2;1;1;Это здание не имеет особых архитектурных особенностей.
Развязка 64;2.7;3;5;4;Это здание очень функционально.
Бомбоубежище 69;2.8;4;1;5;Это здание имеет стандартную конструкцию.
Логово 7;1.1;4;3;1;Это здание построено из стандартных строительных материалов.
Гараж 20;2.5;1;5;3;Это здание имеет стандартную конструкцию.
Почта 83;2.6;4;3;3;Это великолепное здание!
Библиотека 76;4.5;5;5;3;Это здание представляет собой типичный образец современной архитектуры.
Бомбоубежище 69;0.3;3;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Крольчатник 81;3.8;1;4;1;Это здание представляет собой типичный образец современной архитектуры.
Альпакарий 3;4.9;2;5;2;Это здание не имеет особых архитектурных особенностей.
Мансарда 62;1.2;4;2;1;Это великолепное здание!
Театр 38;1.0;5;5;5;Это здание представляет собой типичный образец современной архитектуры.
Причал 66;2.7;3;2;2;Это здание не имеет особых архитектурных особенностей.
Магазин 26;0.8;3;3;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Детский сад 95;3.4;3;4;3;Это здание является примером функционального дизайна.
Бункер 68;2.1;5;4;1;Это здание имеет стандартную конструкцию.
Виадук 28;3.1;5;2;1;У этого здания отличная архитектура.
Утятник 38;3.3;5;3;1;Это здание построено из стандартных строительных материалов.
Замок 64;1.6;2;5;3;Мне нравится дизайн этого здания.
Библиотека 76;2.7;2;1;4;Это здание не имеет особых архитектурных особенностей.
Канализация 77;4.0;1;5;4;Мне нравится дизайн этого здания.
Отель 2;4.3;2;5;1;Это здание является примером функционального дизайна.
Дуплянка 99;1.5;5;1;4;Это здание имеет стандартную конструкцию.
