name;place;prise
Пойковский 2008;8;78125
Алушта 1964;2;8250000
Вейк-ан-Зее 2007;9;66406
Мемориал Таля 2018;10;36133
Хогевен 2024;11;2441
Пойковский 1980;8;82031
Турнир претендентов 2010;12;732
Алушта 1964;13;4028
Реджо-нель-Эмилия 2009;5;843750
Хогевен 1994;1;10000000
Хогевен 2006;5;1406250
Европа 2012;8;101562
Вейк-ан-Зее 2007;0;34000000
Гран-при ФИДЕ 1973;1;20000000
Реджо-нель-Эмилия 1956;1;6000000
Ставангер 1973;1;12500000
Пойковский 2008;13;2441
Европа 2012;7;203125
Турнир претендентов 2010;2;750000
Реджо-нель-Эмилия 2009;4;1687500
Алушта 2005;8;128906
Линарес 1973;1;23500000
Шамкович 1968;10;40039
Хогевен 2024;2;1250000
Гран-при ФИДЕ 1984;3;250000
Реджо-нель-Эмилия 2009;6;421875
Вена 1981;0;24000000
Шамкович 1968;6;640625
Sinquefield Cup 1960;1;500000
Алушта 2005;0;33000000
Турнир претендентов 2010;3;375000
Европа 1987;6;390625
Пойковский 1980;3;2625000
Балтийская цепь 1950;0;17000000
Европа 2024;0;38000000
Алушта 1959;6;578125
Пальма 2019;0;29000000
Шамкович 1985;3;500000
Шамкович 1968;5;1281250
Турнир претендентов 2010;2;8250000
Мемориал Таля 2018;9;72266
Балтийская цепь 1950;11;8301
Хогевен 2024;4;1187500
Кубок мира 1986;0;50000000
Вейк-ан-Зее 2007;7;265625
Реджо-нель-Эмилия 1956;2;3000000
Пойковский 1980;7;164062
Балтийская цепь 2016;11;13672
Мемориал Таля 1958;8;187500
Европа 2024;1;19000000
Балтийская цепь 2016;8;109375
Хогевен 2024;0;5000000
Хогевен 2006;10;43945
Хогевен 2024;14;2000
Пальма 1950;0;43000000
Кубок мира 1965;12;11230
Балтийская цепь 2016;3;3500000
Политика 1980;0;10000000
Турнир претендентов 2010;6;515625
Алушта 2005;6;515625
Европа 1966;1;13000000
Пойковский 1980;4;1312500
Европа 1966;0;26000000
Хогевен 1994;3;2500000
Ставангер 1985;2;500000
Мемориал Таля 2002;2;10500000
Кубок мира 1986;13;6104
Кубок мира 1986;5;1562500
Турнир претендентов 2010;4;187500
Гран-при ФИДЕ 1984;0;2000000
Шамкович 1985;2;1000000
Кубок мира 1965;9;89844
Вейк-ан-Зее 2002;6;515625
Шамкович 1968;8;160156
Тилбург 1965;0;7000000
Лондон 2001;2;250000
Турнир претендентов 1982;5;93750
Реджо-нель-Эмилия 1956;8;46875
Цюрих 2003;3;6000000
Пальма 1990;2;3500000
Аэрофлот Опен 2017;2;8500000
Кубок мира 1986;11;24414
Кубок мира 1965;8;179688
Пальма 1990;10;13672
Тилбург 1965;1;3500000
Турнир претендентов 2010;0;3000000
Дортмунд 1993;1;25000000
Тилбург 2023;3;2500000
Пойковский 2008;2;5000000
Sinquefield Cup 1960;3;125000
Алушта 1959;5;1156250
Пойковский 1980;5;656250
Алушта 2005;3;4125000
Турнир претендентов 1982;3;375000
Мемориал Таля 2018;7;289062
Тилбург 1965;7;54688
Хогевен 2024;1;9500000
Алушта 1964;0;33000000
Кубок мира 1986;9;97656
Хогевен 2006;1;22500000
Мемориал Таля 2018;5;1156250
Sinquefield Cup 1969;4;312500
Шамкович 1968;4;2562500
Лондон 1980;0;14000000
Пальма 1990;7;109375
Пальма 2019;5;906250
Вена 1963;6;78125
Вена 1981;12;5859
Ставангер 2022;4;1125000
Кубок мира 1965;5;1437500
Шамкович 1968;7;320312
Цюрих 2003;2;12000000
Линарес 1973;3;5875000
Пойковский 2008;11;9766
Пальма 2019;4;1812500
Вена 1963;0;5000000
Вена 1981;13;2930
Пальма 1978;1;25000000
Шамкович 1985;9;7812
Пальма 1990;4;875000
Ставангер 1985;6;31250
Европа 1966;4;1625000
Пальма 2019;7;226562
Пойковский 1980;6;328125
Балтийская цепь 2016;7;218750
Балтийская цепь 1950;12;4150
Турнир претендентов 2010;1;1500000
Шамкович 1968;1;20500000
Sinquefield Cup 1969;3;625000
Хогевен 1994;4;1250000
Реджо-нель-Эмилия 2009;1;13500000
Биль 1961;2;5250000
Вейк-ан-Зее 2007;2;8500000
Хогевен 2024;12;2000
Турнир претендентов 1982;2;750000
Алушта 2005;9;64453
Гран-при ФИДЕ 1984;1;1000000
Хогевен 2024;8;19531
Турнир претендентов 1982;7;23438
Пальма 1978;0;50000000
Ставангер 2022;0;18000000
Мемориал Таля 1958;1;24000000
Хогевен 1994;5;625000
Хогевен 2006;4;2812500
Балтийская цепь 1950;8;66406
Макартур 2012;4;1000000
Вена 1981;6;375000
Европа 1987;3;3125000
Балтийская цепь 1950;9;33203
Тилбург 2023;1;10000000
Европа 2012;1;13000000
Мемориал Таля 1958;7;375000
Кубок мира 1986;10;48828
Пальма 1990;6;218750
Балтийская цепь 1950;3;2125000
Sinquefield Cup 1960;0;1000000
Пальма 2019;11;14160
Ставангер 2022;1;9000000
Пойковский 2008;1;10000000
Хогевен 2024;3;625000
Аэрофлот Опен 2017;0;34000000
Турнир претендентов 2010;0;33000000
Хогевен 2006;6;703125
Кубок мира 1986;12;12207
Европа 1987;2;6250000
Хогевен 2024;9;9766
Алушта 2005;2;8250000
Цюрих 2003;10;46875
Хогевен 2024;10;4883
Шамкович 1968;0;41000000
Мемориал Таля 2002;0;42000000
Шамкович 1985;10;3906
Дортмунд 1993;3;6250000
Пальма 1950;2;10750000
Кубок мира 1986;3;6250000
Реджо-нель-Эмилия 1956;3;1500000
Шамкович 1985;7;31250
Биль 1961;4;1312500
Пальма 2019;10;28320
Европа 1987;7;195312
Шамкович 1968;2;10250000
Кубок мира 1965;10;44922
Лондон 2001;4;62500
Хогевен 1994;0;20000000
Балтийская цепь 1950;1;8500000
Мемориал Таля 2018;0;37000000
Шамкович 1985;1;2000000
Мемориал Таля 2018;2;9250000
Алушта 2005;4;2062500
Вена 1981;10;23438
Вена 1981;4;1500000
Шамкович 1985;6;62500
Турнир претендентов 1982;1;1500000
Чемпионат мира 1968;0;42000000
Европа 2012;2;6500000
Мемориал Таля 2018;1;18500000
Пойковский 2008;5;625000
Алушта 1959;1;18500000
Европа 2020;3;875000
Балтийская цепь 1950;10;16602
Вена 1963;3;625000
Мемориал Таля 1958;2;12000000
Дортмунд 1993;5;1562500
Балтийская цепь 2016;5;875000
Европа 2020;0;7000000
Биль 1961;7;164062
Европа 2020;2;1750000
Алушта 1964;10;32227
Европа 1987;10;24414
Цюрих 2003;7;375000
Алушта 1959;2;9250000
Пальма 1950;6;671875
Европа 1987;5;781250
Реджо-нель-Эмилия 2009;3;3375000
Турнир претендентов 2010;3;4125000
Вейк-ан-Зее 2007;4;2125000
Реджо-нель-Эмилия 1956;0;12000000
Европа 1987;14;1526
Хогевен 2024;7;39062
Вена 1981;9;46875
Лондон 1980;1;7000000
Ставангер 1985;5;62500
Хогевен 2006;8;175781
Вейк-ан-Зее 2002;3;4125000
Макартур 2012;2;4000000
Тилбург 1965;5;218750
Вена 1963;5;156250
Вейк-ан-Зее 2007;5;1062500
Турнир претендентов 2010;9;5859
Вена 1981;8;93750
Мемориал Таля 2018;6;578125
Пальма 1950;4;2687500
Кубок мира 1965;14;2808
Европа 2012;6;406250
Пальма 1978;4;3125000
Европа 2012;4;1625000
Кубок мира 1986;1;25000000
Лондон 2001;1;500000
Sinquefield Cup 1969;2;1250000
Линарес 1973;2;11750000
Линарес 1973;0;47000000
Гран-при ФИДЕ 1984;5;62500
Вена 1981;11;11719
Европа 1987;9;48828
Европа 2012;11;12695
Шамкович 1985;0;4000000
Чемпионат мира 1968;2;10500000
Вена 1963;2;1250000
Реджо-нель-Эмилия 1956;9;23438
Хогевен 2024;4;312500
Биль 1961;5;656250
Турнир претендентов 2010;4;2062500
Вена 1981;5;750000
Вейк-ан-Зее 2002;5;1031250
Балтийская цепь 2016;9;54688
Мемориал Таля 1958;0;48000000
Кубок мира 1965;0;46000000
Аэрофлот Опен 2017;3;4250000
Мемориал Таля 2018;3;4625000
Пальма 1950;3;5375000
Кубок мира 1965;4;2875000
Алушта 1964;4;2062500
Вена 1981;3;3000000
Тилбург 2023;0;20000000
Алушта 1964;12;8057
Алушта 1964;1;16500000
Турнир претендентов 1982;9;5859
Цюрих 2003;9;93750
Мемориал Таля 2018;8;144531
Турнир претендентов 1982;0;3000000
Балтийская цепь 1950;7;132812
Алушта 2005;1;16500000
Цюрих 2003;0;48000000
Европа 2024;2;9500000
Пальма 1950;10;41992
Хогевен 2024;13;2000
Кубок мира 1965;7;359375
Макартур 2012;3;2000000
Вейк-ан-Зее 2002;1;16500000
Политика 1980;3;1250000
Ставангер 2022;5;562500
Пальма 1978;3;6250000
Европа 1987;12;6104
Sinquefield Cup 1969;6;78125
Линарес 1973;4;2937500
Вена 1981;7;187500
Кубок мира 1986;7;390625
Цюрих 2003;4;3000000
Кубок мира 1965;6;718750
Европа 1966;2;6500000
Пальма 1950;9;83984
Дортмунд 1993;4;3125000
Алушта 1959;4;2312500
Пойковский 2008;10;19531
Политика 1980;1;5000000
Тилбург 1965;6;109375
Турнир претендентов 1982;8;11719
Ставангер 1985;3;250000
Пойковский 1980;1;10500000
Турнир претендентов 2010;10;2930
Мемориал Таля 2002;1;21000000
Линарес 1973;5;1468750
Пальма 1990;0;14000000
Пойковский 2008;7;156250
Пальма 2019;8;113281
Балтийская цепь 2016;10;27344
Sinquefield Cup 1960;2;250000
Аэрофлот Опен 2017;4;2125000
Хогевен 2024;0;19000000
Sinquefield Cup 1969;0;5000000
Sinquefield Cup 1969;1;2500000
Пальма 2019;9;56641
Алушта 1964;8;128906
Турнир претендентов 2010;13;500
Пальма 2019;12;7080
Лондон 2001;5;31250
Пальма 2019;3;3625000
Шамкович 1985;5;125000
Турнир претендентов 2010;1;16500000
Вена 1963;1;2500000
Турнир претендентов 2010;8;11719
Мемориал Таля 1958;4;3000000
Лондон 2018;1;11500000
Алушта 1959;7;289062
Пальма 2019;2;7250000
Пальма 1978;2;12500000
Макартур 2012;0;16000000
Балтийская цепь 2016;0;28000000
Алушта 1964;7;257812
Дортмунд 1993;7;390625
Пойковский 2008;6;312500
Тилбург 2023;2;5000000
Алушта 1964;5;1031250
Лондон 2001;0;1000000
Вейк-ан-Зее 2002;2;8250000
Хогевен 2006;7;351562
Мемориал Таля 1958;5;1500000
Алушта 1964;11;16113
Хогевен 2006;9;87891
Ставангер 1985;4;125000
Пальма 1990;11;6836
Хогевен 2024;6;78125
Вена 1981;1;12000000
Реджо-нель-Эмилия 2009;0;27000000
Европа 1987;13;3052
Турнир претендентов 2010;7;23438
Алушта 1959;3;4625000
Пальма 1950;7;335938
Пойковский 1980;9;41016
Хогевен 2024;3;2375000
Балтийская цепь 1950;6;265625
Биль 1961;6;328125
Дортмунд 1993;6;781250
Цюрих 2003;8;187500
Хогевен 2006;3;5625000
Европа 1987;0;25000000
Вейк-ан-Зее 2007;1;17000000
Макартур 2012;1;8000000
Реджо-нель-Эмилия 1956;6;187500
Хогевен 2006;2;11250000
Пальма 1950;5;1343750
Балтийская цепь 2016;2;7000000
Реджо-нель-Эмилия 1956;4;750000
Балтийская цепь 1950;2;4250000
