title;author;genre;pages;published_year;isbn;rating;views
Ребекка;Владимир Набоков;биография;298;1870;372-8107241586;3.8;85168
Сквозь время;Фрэнсис Скотт Фицджеральд;биография;364;1972;531-4513742912;0.1;72514
Гроздья гнева;Николай Гоголь;детектив;404;1916;801-7399476258;3.5;61554
Осиная фабрика;Жюль Верн;роман;233;1951;262-2171629063;2.1;51487
Великий Гэтсби;Антон Чехов;роман;257;1877;425-1633208696;0.3;79247
Сто лет одиночества;Клайв Стейплз Льюис;детектив;295;2000;348-6889443067;0.7;62077
Старик и море;Джордж Оруэлл;любовный роман;465;1972;704-4649075867;3.8;37657
Скотный двор;Джон Фаулз;детская литература;114;1893;492-7998675122;4.0;90078
Хроники Нарнии;Харпер Ли;научная фантастика;218;1880;282-9761532402;0.4;7750
Алхимик;Лев Толстой;фэнтези;449;1898;635-8212240070;1.0;36992
Человек-невидимка;Тед Хьюз;фэнтези;147;1961;683-6960828610;0.6;58053
Слепота;Тед Хьюз;приключения;340;1940;735-6619972248;1.0;56803
Автостопом по галактике;Патрик Зюскинд;приключения;411;2014;928-1411817745;1.7;53057
Недовольство культурой;Роберт Льюис Стивенсон;любовный роман;428;2002;819-8272935846;4.9;82749
О дивный новый мир;Борис Пастернак;биография;458;1996;653-6938519273;3.9;96279
Аутсайдеры;Джозеф Конрад;исторический роман;407;1995;377-2193120483;1.8;45360
Процесс;Алексей Толстой;детская литература;424;1966;746-1476105020;2.8;47128
Автостопом по галактике;Джозеф Конрад;триллер;170;1947;695-4377293230;2.0;72287
Оно;Дон Делилло;детектив;453;1951;660-7315765363;3.0;70344
Город призраков;Джозеф Конрад;научная фантастика;286;1903;814-4907352936;2.2;21341
Неукротимый;Дж. Р. Р. Толкин;фэнтези;264;1959;350-7368767817;1.5;56324
Гарри Поттер и Философский камень;Джейн Остин;детектив;287;1817;704-1307427384;3.1;37825
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Антон Чехов;исторический роман;230;1976;709-6648137154;1.9;83142
Прощай, оружие;Майн Рид;триллер;194;1898;393-9809114715;3.6;40736
Аутсайдеры;Владимир Набоков;исторический роман;392;1907;269-3931221227;1.2;54988
Зеленая миля;Тед Хьюз;исторический роман;262;1893;320-5614770246;3.9;99350
Двенадцать стульев;Юстейн Гордер;триллер;483;1976;801-5359599977;0.4;55415
Бегущий по лезвию;Харуки Мураками;роман;302;1837;176-9409862748;1.8;80761
Прощай, оружие;Ярослав Гашек;роман;402;1805;666-7155884218;0.4;64256
По направлению к сваолу;Юстейн Гордер;детская литература;255;1903;309-6306724329;0.1;27611
Под стеклянным колпаком;Эрих Мария Ремарк;фэнтези;354;1922;533-1193665504;2.5;71645
Скотный двор;Алексей Толстой;триллер;422;1814;518-7238379653;4.5;31710
Зеленая миля;Станислав Лем;роман;374;1807;191-5676116745;3.6;76227
Бесконечная история;Колин Маккалоу;биография;157;1913;855-8157134055;1.0;96835
Волхв;Патрик Зюскинд;детектив;423;1938;987-1027670168;4.6;54601
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Фрэнсис Скотт Фицджеральд;роман;338;1836;885-9396523705;0.4;78149
Ночная стража;Антон Чехов;исторический роман;351;1887;501-5844235719;3.8;1552
Белый шум;Габриэль Гарсиа Маркес;роман;317;1975;646-6818421038;3.6;2452
Хроники Нарнии;Юстейн Гордер;исторический роман;432;1962;593-6646930505;3.9;2669
Гарри Поттер и Философский камень;Джозеф Конрад;приключения;417;2016;589-2514705802;3.7;87516
Под стеклянным колпаком;Роберт Льюис Стивенсон;любовный роман;127;1948;317-2030451064;4.4;23376
Сто лет одиночества;Джозеф Конрад;научная фантастика;400;2003;979-4794705235;1.9;19572
Дюна;Антон Чехов;детская литература;126;1972;593-8417992004;4.7;95407
Эпоха невинности;Марк Твен;биография;343;1835;341-5475741485;3.6;40980
Дюна;Ясунари Кавабата;приключения;374;1816;513-5219271408;4.5;27714
Под стеклянным колпаком;Дон Делилло;триллер;463;1966;320-4110504807;3.5;63931
Фауст;Исаак Бабель;биография;459;1930;762-2179492675;2.5;72322
Алхимик;Иэн Бэнкс;приключения;264;2008;995-7246024055;1.6;63375
Лев, колдунья и платяной шкаф;Умберто Эко;биография;404;1994;205-7069259596;4.1;12497
Мертвые души;Герберт Уэллс;детская литература;145;1906;424-1101477197;1.3;43627
Цветы для Элджернона;Антон Чехов;биография;102;2018;685-2910369637;4.3;32415
Ярмарка тщеславия;Алексей Толстой;роман;184;1972;707-1863264944;2.0;14682
Бухта Эсмеральда;Джейн Остин;исторический роман;418;1965;408-3244911539;0.8;78657
Бесконечная история;Дж. Р. Р. Толкин;фэнтези;428;2004;337-6025432768;0.9;6864
На игле;Герберт Уэллс;триллер;421;1927;598-4797722319;3.6;99555
Ярмарка тщеславия;Генрих Сенкевич;приключения;317;1913;196-5992731478;2.4;44715
Ночная стража;Уильям Голдинг;исторический роман;431;1989;672-2999257953;2.0;94316
Солярис;Иван Тургенев;любовный роман;199;1830;134-6777738623;1.8;557
Бесконечная история;Дон Делилло;научная фантастика;324;2007;306-8799203458;3.2;41132
Процесс;Джон Фаулз;триллер;118;1820;247-1364373251;2.6;51030
Страх и отвращение в Лас-Вегасе;Оскар Уайльд;детская литература;190;1990;652-5887128696;1.6;23116
Ватек;Генрих Сенкевич;приключения;266;1944;821-5022831505;0.7;49210
Скотный двор;Харуки Мураками;научная фантастика;395;1831;913-3068442121;1.4;87020
Гордость и предубеждение;Дж. Р. Р. Толкин;триллер;461;1961;395-2230155643;4.7;56710
Человек-невидимка;Иван Тургенев;приключения;213;1918;917-1066240886;3.0;24737
Повелитель мух;Казуо Исигуро;любовный роман;403;1914;143-9800776231;2.4;9435
Большие надежды;Иэн Бэнкс;биография;224;1928;666-3395391448;0.1;99902
Приключения Гекльберри Финна;Габриэль Гарсиа Маркес;исторический роман;262;1994;332-7785868824;2.4;74502
Аутсайдеры;Станислав Лем;исторический роман;170;1816;130-7190026441;2.8;22541
Преступление и наказание;Иэн Бэнкс;фэнтези;447;1829;539-7694458635;0.2;83909
Ярмарка тщеславия;Алан Александр Милн;фэнтези;341;1862;219-1965154759;2.9;66615
Большие надежды;Жюль Верн;исторический роман;328;2003;294-3748268155;2.9;35989
Алхимик;Синклер Льюис;триллер;101;1863;183-6636045008;0.3;92187
