title;author;genre;pages;published_year;isbn;rating;views
Фауст;Михаил Булгаков;детская литература;474;1953;353-4542311920;1.3;30663
Колыбель для кошки;Ясунари Кавабата;детская литература;442;1923;914-8555152735;1.0;70845
Бесконечная история;Джейн Остин;любовный роман;109;1925;993-3928241323;5.0;25293
Автостопом по галактике;Федор Достоевский;научная фантастика;203;1840;515-2410396806;2.1;12099
Под стеклянным колпаком;Иван Тургенев;роман;446;1968;875-7356631356;1.1;16713
Большие надежды;Джейн Остин;фэнтези;269;1985;869-7765494356;2.2;20712
Под стеклянным колпаком;Фрэнсис Скотт Фицджеральд;детская литература;373;1907;282-1682758118;2.0;43270
Граф Монте-Кристо;Антон Чехов;детектив;225;1849;924-3643615837;3.3;77460
Солярис;Эрнест Хемингуэй;детская литература;261;2019;210-4731210980;3.1;67372
Преступление и наказание;Эрих Мария Ремарк;биография;239;1886;212-5809683838;0.5;97507
Планета обезьян;Жюль Верн;исторический роман;195;1923;474-1836474735;1.8;47946
Осиная фабрика;Джордж Оруэлл;приключения;199;1878;403-2660851951;3.4;42001
Автостопом по галактике;Владимир Набоков;любовный роман;409;1903;185-2899071051;2.5;35746
Большие надежды;Роберт Льюис Стивенсон;приключения;383;1992;762-5186472107;1.0;42860
Имя розы;Артур Конан Дойл;любовный роман;446;1890;796-8278244374;4.3;56926
Гордость и предубеждение;Джек Лондон;роман;448;1972;173-9956339583;0.5;85157
Страх и отвращение в Лас-Вегасе;Артур Конан Дойл;приключения;157;2008;815-2834237830;3.1;94479
Плавучий трава;Эрих Мария Ремарк;научная фантастика;181;1839;714-2213612398;0.8;36139
Колыбель для кошки;Артур Конан Дойл;биография;258;2013;678-1234653905;2.5;3026
Убить пересмешника;Синклер Льюис;детектив;360;1841;703-8678949964;4.5;46633
Осиная фабрика;Сельма Лагерлёф;роман;219;1894;718-4518400687;4.5;84952
Вещие сестрички;Николай Гоголь;биография;152;2008;653-5970386517;1.4;74793
Автостопом по галактике;Станислав Лем;фэнтези;280;1991;626-7814377162;1.5;60052
Человек-невидимка;Борис Пастернак;любовный роман;246;1944;748-7152698656;0.4;41900
Двенадцать стульев;Майн Рид;биография;446;1854;195-2470968478;2.8;89372
Колыбель для кошки;Ярослав Гашек;роман;231;2005;384-7545102804;0.5;41479
Маленький принц;Федор Достоевский;научная фантастика;355;1949;585-9839040129;4.1;59952
1984;Владимир Набоков;детектив;283;1924;160-1294711129;3.1;92791
О дивный новый мир;Артур Конан Дойл;детская литература;308;1885;369-6078856308;1.6;90883
Граф Монте-Кристо;Генрих Сенкевич;любовный роман;447;1977;949-9954774275;3.7;62641
Граф Монте-Кристо;Салман Рушди;фэнтези;219;1859;140-9035491039;1.6;66183
451 градус по Фаренгейту;Александр Пушкин;детектив;116;2017;552-8818463322;0.9;16723
20 000 лье под водой;Лев Толстой;детектив;295;1904;457-8180324595;3.0;54044
Ватек;Джон Фаулз;любовный роман;439;1831;557-5534439172;0.7;48393
Лолита;Иэн Бэнкс;приключения;142;1813;892-9079011854;4.5;71983
Зеленая миля;Жюль Верн;триллер;128;1935;962-9811715316;3.6;30937
Ярмарка тщеславия;Харпер Ли;научная фантастика;257;2000;341-3802281494;0.4;43783
Белый шум;Джек Лондон;триллер;317;1936;809-7849849132;4.8;80976
Бегущий по лезвию;Владимир Набоков;детектив;272;1899;358-5370535795;3.7;45086
Франкенштейн;Уильям Голдинг;роман;461;1866;359-1545392445;1.2;74065
Бухта Эсмеральда;Фрэнсис Скотт Фицджеральд;роман;494;1925;276-6414955830;5.0;64606
Ярмарка тщеславия;Казуо Исигуро;роман;197;1965;486-8126702768;1.3;38110
О дивный новый мир;Ясунари Кавабата;фэнтези;469;1937;824-8622191170;3.1;82370
На игле;Дон Делилло;биография;421;1850;403-3509454307;3.7;22486
Приключения Гекльберри Финна;Юстейн Гордер;научная фантастика;282;1976;551-3013053466;0.6;73946
Двенадцать стульев;Алексей Толстой;приключения;104;1932;245-1183190030;2.5;55506
Белый шум;Роберт Льюис Стивенсон;приключения;157;1858;464-5272597562;3.3;77628
Мертвые души;Оскар Уайльд;научная фантастика;264;1837;596-8380881937;1.6;98822
Приключения Гекльберри Финна;Иван Тургенев;триллер;229;1933;379-3437120377;1.1;44109
Ярмарка тщеславия;Владимир Набоков;научная фантастика;142;1879;682-9954934607;4.3;23558
