title;author;genre;pages;published_year;isbn;rating;views
Зеленая миля;Фрэнсис Скотт Фицджеральд;приключения;316;1905;156-6481890627;3.4;6577
Исчезнувшая;Марк Твен;любовный роман;314;1955;991-2481575418;3.5;2954
Заводной апельсин;Исаак Бабель;исторический роман;500;2013;278-3830762673;4.6;28973
Дракула;Джейн Остин;детская литература;408;1908;362-7388495478;1.3;22295
Трудно быть богом;Жюль Верн;роман;331;1839;455-3321364402;0.9;83633
Хроники Нарнии;Эрих Мария Ремарк;биография;402;1996;886-7157920712;3.9;62628
Город призраков;Жюль Верн;исторический роман;125;1982;871-1489919840;3.4;94165
Убить пересмешника;Оскар Уайльд;любовный роман;369;1832;500-8406868248;3.5;37847
В дороге;Федор Достоевский;фэнтези;455;1892;722-8105851676;3.7;81935
Неукротимый;Майн Рид;детектив;266;1961;917-2861196845;0.7;89422
По направлению к сваолу;Николай Гоголь;приключения;360;1940;136-4983975030;0.6;16336
Гроздья гнева;Уильям Голдинг;любовный роман;478;1945;155-5451357942;4.7;32571
Свет в лесу;Дон Делилло;роман;481;1905;457-8807795223;2.2;30867
Звездная пыль;Иэн Бэнкс;роман;308;1821;342-6152450315;3.7;91103
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Роберт Льюис Стивенсон;триллер;486;1853;392-3094037165;4.8;82935
Мастер и Маргарита;Марк Твен;любовный роман;269;1815;484-2379295609;0.8;47202
Портрет Дориана Грея;Фрэнсис Скотт Фицджеральд;приключения;361;1814;256-6462450649;2.5;56776
Человек-невидимка;Генрих Сенкевич;роман;338;1939;904-7255488640;2.1;67343
451 градус по Фаренгейту;Синклер Льюис;любовный роман;235;1836;714-1363120185;0.7;58413
Неукротимый;Эрнест Хемингуэй;детская литература;414;1863;101-1866814831;2.7;93633
Сто лет одиночества;Умберто Эко;любовный роман;112;1996;362-7414540698;4.6;74688
Женщина в песках;Патрик Зюскинд;научная фантастика;287;1965;164-3803109761;1.1;5631
Исчезнувшая;Федор Достоевский;детектив;222;1838;233-8611320608;4.6;67517
Дракула;Николай Гоголь;приключения;179;2000;680-1701844312;4.5;41393
Котлован;Сигрид Унсет;биография;146;1826;894-6829491531;1.8;78659
Процесс;Казуо Исигуро;триллер;374;1869;476-9837268817;3.6;7785
Повелитель мух;Умберто Эко;биография;325;1882;183-7257820752;2.1;54344
Лев, колдунья и платяной шкаф;Михаил Булгаков;любовный роман;368;1851;515-6109230779;3.8;47296
Лев, колдунья и платяной шкаф;Казуо Исигуро;приключения;248;1895;953-1488730112;4.8;84223
Аутсайдеры;Иван Тургенев;биография;271;1858;162-1235606312;4.2;69653
Страх и отвращение в Лас-Вегасе;Джордж Оруэлл;биография;226;2010;994-5459541693;1.8;57068
Дракула;Джейн Остин;научная фантастика;132;1920;796-2397877440;1.6;14226
Преступление и наказание;Антон Чехов;роман;478;1950;752-8977882172;0.4;58319
Идиот;Юстейн Гордер;любовный роман;268;1970;547-3078465410;3.9;72212
О дивный новый мир;Ясунари Кавабата;триллер;136;1836;669-4688060995;4.4;92525
Возвращение в Брайдсхед;Патрик Зюскинд;детектив;166;1883;731-3745208697;0.6;81681
Трудно быть богом;Оскар Уайльд;биография;215;2011;689-6623067806;2.2;31936
Аутсайдеры;Эрих Мария Ремарк;научная фантастика;376;1857;874-7470373258;1.4;67800
Недовольство культурой;Алан Александр Милн;биография;306;1838;263-1602086153;1.1;23880
Портрет Дориана Грея;Харпер Ли;триллер;229;1868;284-5604433302;2.7;62064
Война и мир;Джозеф Конрад;биография;258;1833;124-9336649534;4.7;24101
Три товарища;Ярослав Гашек;фэнтези;429;1841;112-8104825040;0.3;8712
Идиот;Тед Хьюз;роман;403;1901;500-7481565299;2.1;63029
Неукротимый;Эрнест Хемингуэй;триллер;384;1823;122-1350484404;1.6;62211
Скотный двор;Роберт Льюис Стивенсон;детская литература;139;1949;710-6874814160;3.8;9485
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Джордж Оруэлл;научная фантастика;437;1929;817-8751017401;2.5;27467
Слепота;Патрик Зюскинд;любовный роман;216;1995;628-5789556788;1.3;38861
Гордость и предубеждение;Тед Хьюз;приключения;475;1972;440-1701958417;3.4;91009
