title;author;genre;pages;published_year;isbn;rating;views
Преступление и наказание;Уильям Голдинг;детская литература;110;1979;291-9783944307;2.6;35802
Белый шум;Исаак Бабель;научная фантастика;229;1918;240-5036145181;4.7;8291
Планета обезьян;Колин Маккалоу;любовный роман;415;1923;584-8329529628;0.3;30986
Колыбель для кошки;Салман Рушди;роман;301;1964;288-1709118708;3.9;73812
Сто лет одиночества;Станислав Лем;триллер;395;1859;502-6967445657;0.2;38790
Слепота;Дж. Р. Р. Толкин;роман;350;1974;498-2475927551;1.2;96699
Цветы для Элджернона;Герберт Уэллс;любовный роман;387;1878;867-3276491405;4.5;97938
Франкенштейн;Колин Маккалоу;роман;470;1867;701-1739317425;1.9;40966
Оно;Джейн Остин;триллер;158;1880;706-2751624974;0.9;83105
Американские горки;Дон Делилло;исторический роман;130;1831;131-3029900613;1.0;69610
Хроники Нарнии;Антон Чехов;детская литература;150;1848;563-4593090108;3.0;96707
Эпоха невинности;Стивен Кинг;приключения;150;1959;491-9027649547;0.9;48775
Заводной апельсин;Тед Хьюз;триллер;147;2009;789-8117823472;3.5;49687
Большие надежды;Харуки Мураками;научная фантастика;387;1907;343-9665466797;0.3;34152
Город призраков;Артур Конан Дойл;биография;284;1913;400-1282786737;1.4;52833
Граф Монте-Кристо;Джейн Остин;любовный роман;275;1817;342-9210267420;2.5;60997
Двенадцать стульев;Умберто Эко;роман;458;1815;103-4656629481;3.6;52096
Зеленая миля;Джозеф Конрад;фэнтези;202;1950;727-2379330845;4.0;72465
Приключения Гекльберри Финна;Сигрид Унсет;триллер;352;1916;176-2258845712;0.8;52218
Женщина в песках;Фрэнсис Скотт Фицджеральд;триллер;265;2016;131-9608252188;4.2;8390
Осиная фабрика;Иэн Бэнкс;исторический роман;426;1880;500-4155650422;0.4;8058
Женщина в песках;Джордж Оруэлл;фэнтези;321;1818;494-8106267098;1.3;95798
Молот ведьм;Казуо Исигуро;биография;456;1837;833-5895758100;1.0;65146
