id;name;street;city;zipcode;floors;year;parking;prob_price;views
763707;Сеть 5;Морская улица 20;Самора;517199;7;2007;True;796400121;88885
773486;Конюшня 68;Краковская улица 15;Москва;331486;7;1891;False;381066193;1868
377907;Крольчатник 74;Юбилейная улица 80;Ла-Корунья;440834;5;1792;True;20759524;89483
577989;Газопровод 64;Вроцлавская улица 39;Ла-Корунья;297908;1;1681;False;40484253;19344
311751;Ангар 88;Летняя улица 77;Алькала-де-Энарес;429983;4;1792;False;474866726;91089
310853;Офис 54;Зеленая улица 57;Сантьяго-де-Компостела;205693;9;2014;True;574977635;55274
486133;Ферма 64;Минская улица 31;Гранада;934898;9;1704;False;526942241;14096
124178;Мануфактура 78;Морская улица 10;Рига;824649;6;1843;False;790906292;86576
705217;Библиотека 40;Осенняя улица 46;Алькала-де-Энарес;878180;6;1805;False;937600153;49019
733418;Академия 1;Зеленая улица 36;Овьедо;387480;2;1700;False;277800514;15023
894120;Завод 78;Летняя улица 1;Овьедо;423105;9;1675;False;988355767;49345
596424;Автомойка 73;Школьная улица 60;Сантьяго-де-Компостела;156281;6;1939;True;468728750;36132
513225;Банк 46;Полевая улица 11;Сантьяго-де-Компостела;657922;5;1999;False;160733219;26514
585182;Маяк 62;Осенняя улица 78;Артейхо;480004;3;1759;False;610373096;32472
794898;Жилой дом 66;Парковая улица 56;Пласенсия;727351;8;2002;True;909147409;46770
587529;Детский сад 24;Вроцлавская улица 2;Загреб;626695;3;1674;False;212239567;40424
975820;Лестница 4;Школьная улица 11;Семана;149795;8;1737;True;855021015;65147
977537;Ресторан 23;Краковская улица 80;Киев;169942;5;1868;False;110846572;54902
631018;Бункер 56;Петербургская улица 75;Махадаонда;813805;6;1966;False;805898307;45905
356312;Лифт 3;Садовая улица 82;Бургос;197140;1;1692;True;516542643;6369
688625;Отель 17;Краковская улица 61;Варшава;401942;7;1744;True;191927818;10013
144567;Бункер 96;Центральная улица 52;Сан-Себастьян;776529;8;2015;True;850047525;31625
856244;Мануфактура 42;Лесная улица 65;Санкт-Петербург;744404;4;1809;True;595491169;74838
176393;Порт 20;Летняя улица 91;Барселона;749402;3;1674;True;492324339;51914
480148;Отель 72;Весенняя улица 18;Осера;276763;9;1738;False;737717550;14558
240138;Маяк 19;Юбилейная улица 70;Бишкек;463387;8;1931;False;978925139;91980
885031;Мушиный лабиринт 19;Летняя улица 27;Фигерас;660049;3;1874;True;464638060;72372
599920;Мансарда 69;Летняя улица 13;Минск;240013;6;1821;False;751579106;58926
987910;Усадьба 99;Осенняя улица 44;Вроцлав;929964;4;1696;True;518998017;98322
228060;Отель 92;Школьная улица 39;Самора;564311;1;1677;True;621711293;40314
265320;Хаус 31;Зимняя улица 51;Луарка;907578;10;1619;False;272702800;26509
762364;Верблюжатник 55;Солнечная улица 94;Таллин;422176;2;1874;True;630089863;37682
540438;Дупло 70;Летняя улица 99;Вильявисиоса;811006;5;1896;False;824361570;28162
436027;Ангар 90;Осенняя улица 91;Виго;691525;1;1945;True;374242316;48113
855736;Осатаник 4;Спортивная улица 34;Сьюдад-Реаль;505783;2;2005;False;252294809;82357
965557;Магазин 74;Вроцлавская улица 22;Ташкент;911644;8;1755;False;755385060;99101
350505;Электростанция 75;Летняя улица 32;Бильбао;681803;2;1776;True;161535397;9537
793537;Развязка 21;Московская улица 85;Монсон;561775;9;1829;False;810523962;87977
740050;Школа 48;Минская улица 96;Рига;813697;8;1968;True;613764255;75137
218351; Вилла 51;Петербургская улица 44;Мадрид;410714;10;1944;False;390414649;56809
961732;Школа 91;Школьная улица 30;Самора;292086;2;1995;True;952457806;83675
482728;Тоннель 32;Московская улица 68;Трухильо;917027;3;1717;True;619798553;79722
677127;Ангар 46;Зимняя улица 91;Минск;532201;6;1706;True;63103253;38283
938671;Коровник 88;Краковская улица 52;Мерида;961645;8;1810;True;857604812;71158
706750;Дупло 24;Юбилейная улица 42;Душанбе;645055;10;1906;True;473528915;78661
990487;Библиотека 72;Краковская улица 19;Санкт-Петербург;107893;4;2008;False;983795498;1361
420321;Бомбоубежище 19;Спортивная улица 36;Киев;580083;7;1827;True;492913813;25777
407679;Кинотеатр 59;Школьная улица 43;Малага;707367;10;1944;True;320457053;49445
440468;Нефтепровод 86;Киевская улица 31;Хихон;949671;6;1834;False;868938599;38761
