title;author;genre;pages;published_year;isbn;rating;views
Ярмарка тщеславия;Борис Пастернак;биография;277;1898;915-2597204569;2.8;92114
Ребекка;Юстейн Гордер;триллер;390;1811;663-2667748179;4.3;62199
Франкенштейн;Оскар Уайльд;роман;396;1824;433-9275026946;0.3;83167
Трудно быть богом;Иван Тургенев;приключения;270;1880;872-7875592640;5.0;44020
Прощай, оружие;Владимир Набоков;детектив;474;1939;878-1298512862;1.1;6379
Зеленая миля;Станислав Лем;исторический роман;295;1885;823-1912629363;3.6;14250
Свет в лесу;Дон Делилло;научная фантастика;384;1927;575-6134234357;4.2;32258
Мастер и Маргарита;Марк Твен;приключения;477;2023;475-4083513407;0.4;61263
Автостопом по галактике;Юстейн Гордер;детектив;194;1959;648-3479803742;2.5;69377
Плавучий трава;Джордж Оруэлл;биография;421;2006;513-5311355790;0.8;21907
Человек-невидимка;Харуки Мураками;детектив;393;2008;634-9670657411;2.3;98015
Слепота;Иван Тургенев;триллер;258;1830;467-1764402826;3.5;76309
Рассказ мертвецов;Роберт Льюис Стивенсон;исторический роман;179;1886;756-5130663510;2.5;56923
451 градус по Фаренгейту;Дон Делилло;научная фантастика;102;1904;798-4615985172;0.6;94018
Котлован;Фрэнсис Скотт Фицджеральд;исторический роман;448;1833;767-9429413552;1.6;13816
Аутсайдеры;Харпер Ли;биография;379;1904;329-7951803429;4.2;98009
Солярис;Уильям Голдинг;триллер;253;1971;137-8817056032;1.5;27846
О дивный новый мир;Эрих Мария Ремарк;исторический роман;268;2021;224-9748062037;5.0;4825
451 градус по Фаренгейту;Джек Лондон;детектив;131;1870;262-4402647544;3.4;83180
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Стивен Кинг;детектив;341;1800;391-8723868120;3.4;82345
Заводной апельсин;Станислав Лем;фэнтези;148;1952;210-9666184161;1.4;3846
Лев, колдунья и платяной шкаф;Джек Лондон;детектив;369;1872;593-6828122037;1.4;15557
Ватек;Харуки Мураками;научная фантастика;487;1838;534-1993121704;3.4;15772
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Александр Пушкин;научная фантастика;104;1929;923-8090354880;2.8;49744
Идиот;Марк Твен;детектив;272;1830;447-3122280454;0.8;2194
Портрет Дориана Грея;Ярослав Гашек;биография;373;1858;203-3798830893;1.7;87832
Неукротимый;Джордж Оруэлл;детская литература;309;1854;239-3177109979;0.4;54796
Прощай, оружие;Станислав Лем;исторический роман;114;1906;816-8520697615;0.3;81418
Планета обезьян;Фрэнсис Скотт Фицджеральд;научная фантастика;267;1888;579-3603605224;0.1;21625
Убить пересмешника;Жюль Верн;триллер;376;1870;482-5595936898;5.0;13963
Ярмарка тщеславия;Николай Гоголь;триллер;354;1897;962-6769541179;0.3;98420
Лолита;Антон Чехов;детектив;245;2021;758-3572110944;4.9;56202
Скотный двор;Антон Чехов;роман;237;1908;493-4485012827;3.5;26721
Портрет Дориана Грея;Антон Чехов;любовный роман;277;1943;680-3467829064;0.7;34348
В дороге;Эрих Мария Ремарк;роман;432;1992;887-6809157710;4.3;72229
Оно;Лев Толстой;фэнтези;293;1856;550-6820792201;4.6;31154
Маленький принц;Антон Чехов;детектив;404;1894;677-6998371190;1.2;93186
Оно;Ярослав Гашек;исторический роман;317;1814;244-3356109058;4.5;26947
